time,lN,fN01,fN02,fN03,fN04,fN05,fN06,fN07,fN08,fN09,fN10,fN11,fN12,fN13,fN14,fN15,fN16,fN17,fN18,fN19,fN20,fN21,fN22,fN23,fN24,fNavg,fNstd,fNmin,fNmax
5.000000e+00,8.481300e-01,8.767939e-01,8.291480e-01,7.520312e-01,7.706000e-01,7.541395e-01,1.004457e+00,8.934190e-01,8.162081e-01,8.958077e-01,8.294720e-01,8.613203e-01,8.904743e-01,8.532800e-01,8.853045e-01,8.490164e-01,8.638144e-01,8.240000e-01,8.173410e-01,8.795000e-01,8.354808e-01,8.271717e-01,8.425106e-01,7.651092e-01,9.044118e-01,8.467005e-01,5.483687e-02,7.520312e-01,1.004457e+00
5.001000e+00,8.483000e-01,8.770992e-01,8.295964e-01,7.515625e-01,7.706667e-01,7.536279e-01,1.005206e+00,8.930848e-01,8.160906e-01,8.958846e-01,8.291615e-01,8.614286e-01,8.909486e-01,8.526400e-01,8.852259e-01,8.491803e-01,8.633677e-01,8.221111e-01,8.176301e-01,8.798750e-01,8.353846e-01,8.273232e-01,8.430638e-01,7.657642e-01,9.039412e-01,8.466610e-01,5.497086e-02,7.515625e-01,1.005206e+00
5.002000e+00,8.483700e-01,8.769466e-01,8.299552e-01,7.526562e-01,7.707667e-01,7.542326e-01,1.004869e+00,8.931877e-01,8.161242e-01,8.960385e-01,8.289130e-01,8.613203e-01,8.906324e-01,8.522400e-01,8.850688e-01,8.491803e-01,8.638832e-01,8.225556e-01,8.175145e-01,8.790625e-01,8.359135e-01,8.276768e-01,8.430638e-01,7.649782e-01,9.037647e-01,8.466893e-01,5.480118e-02,7.526562e-01,1.004869e+00
5.003000e+00,8.487400e-01,8.769466e-01,8.299552e-01,7.529687e-01,7.710667e-01,7.540930e-01,1.005019e+00,8.928535e-01,8.165436e-01,8.964231e-01,8.291925e-01,8.613203e-01,8.906719e-01,8.529600e-01,8.856582e-01,8.490574e-01,8.642268e-01,8.231111e-01,8.170520e-01,8.798750e-01,8.359615e-01,8.273232e-01,8.431915e-01,7.656769e-01,9.037059e-01,8.468689e-01,5.478378e-02,7.529687e-01,1.005019e+00
5.004000e+00,8.489800e-01,8.776336e-01,8.301794e-01,7.543750e-01,7.718333e-01,7.552093e-01,1.005693e+00,8.947558e-01,8.187248e-01,8.978846e-01,8.300932e-01,8.624892e-01,8.903953e-01,8.532800e-01,8.863851e-01,8.495902e-01,8.648110e-01,8.228889e-01,8.195376e-01,8.811875e-01,8.378365e-01,8.291919e-01,8.445957e-01,7.665502e-01,9.052941e-01,8.479340e-01,5.470115e-02,7.543750e-01,1.005693e+00
5.005000e+00,8.493600e-01,8.799237e-01,8.334978e-01,7.558594e-01,7.756333e-01,7.577209e-01,1.007603e+00,8.977378e-01,8.235235e-01,9.016538e-01,8.321429e-01,8.639394e-01,8.923320e-01,8.545600e-01,8.881139e-01,8.510656e-01,8.666323e-01,8.257778e-01,8.217341e-01,8.827500e-01,8.400000e-01,8.325758e-01,8.491064e-01,7.677729e-01,9.070000e-01,8.503607e-01,5.457754e-02,7.558594e-01,1.007603e+00
5.006000e+00,8.495900e-01,8.838931e-01,8.373094e-01,7.585156e-01,7.806000e-01,7.604651e-01,1.009963e+00,9.021594e-01,8.299664e-01,9.068077e-01,8.349379e-01,8.662338e-01,8.937945e-01,8.555200e-01,8.905108e-01,8.526639e-01,8.686254e-01,8.304444e-01,8.268208e-01,8.875625e-01,8.442788e-01,8.395455e-01,8.551915e-01,7.717031e-01,9.108824e-01,8.540998e-01,5.432018e-02,7.585156e-01,1.009963e+00
5.007000e+00,8.498600e-01,8.903053e-01,8.426009e-01,7.621875e-01,7.865333e-01,7.648837e-01,1.013521e+00,9.072751e-01,8.376007e-01,9.133462e-01,8.391304e-01,8.693723e-01,8.966008e-01,8.587200e-01,8.939686e-01,8.551230e-01,8.712371e-01,8.328889e-01,8.332948e-01,8.920000e-01,8.497596e-01,8.470202e-01,8.622128e-01,7.756332e-01,9.147059e-01,8.587467e-01,5.415091e-02,7.621875e-01,1.013521e+00
5.008000e+00,8.500900e-01,8.937405e-01,8.478924e-01,7.669531e-01,7.921000e-01,7.697209e-01,1.017116e+00,9.124936e-01,8.459732e-01,9.205000e-01,8.433851e-01,8.725325e-01,8.995257e-01,8.599200e-01,8.978193e-01,8.576230e-01,8.754639e-01,8.393333e-01,8.404046e-01,8.982500e-01,8.555769e-01,8.536869e-01,8.703404e-01,7.795633e-01,9.204118e-01,8.637636e-01,5.396456e-02,7.669531e-01,1.017116e+00
5.009000e+00,8.502900e-01,8.988550e-01,8.526906e-01,7.730469e-01,7.983667e-01,7.747442e-01,1.021723e+00,9.178920e-01,8.539597e-01,9.281923e-01,8.477019e-01,8.764935e-01,9.018972e-01,8.631200e-01,9.015521e-01,8.604918e-01,8.791065e-01,8.428889e-01,8.476879e-01,9.041250e-01,8.618269e-01,8.624242e-01,8.785106e-01,7.839738e-01,9.255294e-01,8.690333e-01,5.382178e-02,7.730469e-01,1.021723e+00
