x,ssc30
1.999945,0.0202
2.040322,0.08612
2.098187,0.1584
2.160087,0.22751
2.221089,0.29264
2.284783,0.36572
2.343545,0.438
2.399171,0.51663
2.393322,0.46025
2.384769,0.36258
2.374876,0.28317
2.361849,0.21328
2.344341,0.15372
2.319663,0.10448
2.288712,0.06636
2.245658,0.03696
2.203505,0.01948
2.155078,0.01072
2.059126,0.0091
1.999043,0.00591

x,ssc60
1.99815,0.01543
2.031345,0.06071
2.05512,0.09168
2.091003,0.12822
2.133613,0.17112
2.133165,0.17191
2.182052,0.21322
2.182052,0.21401
2.231837,0.25691
2.275792,0.29822
2.327372,0.34826
2.366395,0.39036
2.39914,0.42849
2.39284,0.36575
2.38609,0.29508
2.373507,0.21488
2.36228,0.16643
2.344778,0.12037
2.323243,0.08463
2.294089,0.05524
2.254623,0.0314
2.225027,0.02028
2.184222,0.00994
2.157766,0.00596
2.072575,0.00355
1.99949,0.00194

x,ssc85
1.999946,0.02179
2.025065,0.05197
2.064983,0.08851
2.108487,0.12347
2.155129,0.15524
2.207151,0.18623
2.264106,0.2196
2.315232,0.25297
2.358287,0.28395
2.399548,0.31653
2.392353,0.25538
2.382467,0.19344
2.368549,0.14103
2.351945,0.1029
2.333104,0.0759
2.314715,0.05922
2.294085,0.04571
2.271663,0.03538
2.234892,0.02346
2.213818,0.01948
2.17391,0.01311
2.117415,0.01071
2.000389,0.0067
