x,c00
99.90191,0.26139
100.00469,0.2619
100.01196,0.29729
100.02105,0.34554
100.02833,0.38028
100.04113,0.40279
100.05218,0.38475
100.06508,0.35642
100.09267,0.32743
100.1496,0.31127
100.20834,0.30476
100.25056,0.30342
100.29645,0.304
100.34233,0.30716
100.3882,0.31482
100.42306,0.32057
100.45058,0.32761
100.45429,0.30444
100.46173,0.25681
100.47652,0.19695
100.49681,0.14415
100.52625,0.10936
100.56667,0.0855
100.63278,0.0674
100.71906,0.06021
100.80167,0.05495
100.86041,0.05295
100.9063,0.05096
100.95032,0.06313
100.99803,0.07336
101.04389,0.08231
101.09343,0.0919
