ASI600A Export Data File
Created: Wed Sep  9 13:03:24 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.33700     1.00008     0.01714 
   66.33720     1.00015     0.01714 
   66.33740     1.00021     0.01709 
   66.33760     1.00003     0.01724 
   66.33780     1.00015     0.01714 
   66.33800     1.00013     0.01744 
   66.33820     1.00005     0.01709 
   66.33840     1.00011     0.01719 
   66.33860     1.00018     0.01729 
   66.33880     1.00000     0.01734 
   66.33900     1.00015     0.01739 
   66.33920     1.00015     0.01744 
   66.33940     0.99997     0.01734 
   66.33960     1.00013     0.01734 
   66.33980     1.00015     0.01744 
   66.34000     1.00000     0.01729 
   66.34020     1.00018     0.01709 
   66.34040     1.00008     0.01719 
   66.34060     1.00011     0.01719 
   66.34080     1.00013     0.01719 
   66.34100     1.00005     0.01709 
   66.34120     1.00021     0.01704 
   66.34140     1.00015     0.01714 
   66.34160     1.00005     0.01714 
   66.34180     1.00015     0.01724 
   66.34200     1.00003     0.01719 
   66.34220     1.00013     0.01734 
   66.34240     1.00021     0.01719 
   66.34260     1.00005     0.01729 
   66.34280     1.00011     0.01739 
   66.34300     1.00011     0.01734 
   66.34320     1.00011     0.01734 
   66.34340     1.00008     0.01749 
   66.34360     1.00008     0.01749 
   66.34380     1.00011     0.01754 
   66.34400     1.00008     0.01754 
   66.34420     1.00015     0.01764 
   66.34440     1.00011     0.01774 
   66.34460     1.00011     0.01764 
   66.34480     1.00015     0.01774 
   66.34500     1.00008     0.01774 
   66.34520     1.00008     0.01759 
   66.34540     1.00005     0.01769 
   66.34560     1.00013     0.01749 
   66.34580     1.00011     0.01774 
   66.34600     1.00005     0.01754 
   66.34620     1.00008     0.01759 
   66.34640     1.00003     0.01764 
   66.34660     1.00015     0.01769 
   66.34680     1.00008     0.01749 
   66.34700     1.00013     0.01754 
   66.34720     1.00011     0.01774 
   66.34740     1.00008     0.01749 
   66.34760     1.00008     0.01764 
   66.34780     1.00013     0.01769 
   66.34800     1.00013     0.01779 
   66.34820     1.00011     0.01774 
   66.34840     1.00008     0.01783 
   66.34860     1.00018     0.01793 
   66.34880     1.00011     0.01798 
   66.34900     1.00008     0.01788 
   66.34920     1.00005     0.01788 
   66.34940     1.00015     0.01803 
   66.34960     1.00005     0.01798 
   66.34980     1.00008     0.01754 
   66.35000     1.00011     0.01783 
   66.35020     1.00005     0.01788 
   66.35040     1.00011     0.01783 
   66.35060     1.00011     0.01788 
   66.35080     1.00005     0.01779 
   66.35100     1.00013     0.01803 
   66.35120     1.00005     0.01793 
   66.35140     1.00011     0.01793 
   66.35160     1.00011     0.01793 
   66.35180     1.00011     0.01803 
   66.35200     1.00018     0.01803 
   66.35220     1.00018     0.01793 
   66.35240     1.00000     0.01808 
   66.35260     1.00018     0.01793 
   66.35280     1.00008     0.01813 
   66.35300     1.00013     0.01808 
   66.35320     1.00011     0.01823 
   66.35340     1.00005     0.01818 
   66.35360     1.00011     0.01823 
   66.35380     1.00018     0.01838 
   66.35400     1.00003     0.01818 
   66.35420     1.00008     0.01838 
   66.35440     1.00021     0.01833 
   66.35460     1.00011     0.01823 
   66.35480     1.00005     0.01808 
   66.35500     1.00018     0.01828 
   66.35520     1.00011     0.01813 
   66.35540     1.00008     0.01828 
   66.35560     1.00015     0.01818 
   66.35580     1.00011     0.01828 
   66.35600     1.00011     0.01808 
   66.35620     1.00015     0.01818 
   66.35640     1.00008     0.01823 
   66.35660     1.00015     0.01843 
   66.35680     1.00015     0.01838 
   66.35700     1.00005     0.01838 
   66.35720     1.00013     0.01828 
   66.35740     1.00015     0.01828 
   66.35760     1.00008     0.01833 
   66.35780     1.00013     0.01853 
   66.35800     1.00005     0.01853 
   66.35820     1.00008     0.01838 
   66.35840     1.00011     0.01853 
   66.35860     1.00008     0.01858 
   66.35880     1.00011     0.01863 
   66.35900     1.00015     0.01863 
   66.35920     1.00011     0.01868 
   66.35940     1.00008     0.01863 
   66.35960     1.00008     0.01868 
   66.35980     1.00005     0.01868 
   66.36000     1.00013     0.01863 
   66.36020     1.00013     0.01863 
   66.36040     1.00003     0.01863 
   66.36060     1.00015     0.01873 
   66.36080     1.00003     0.01853 
   66.36100     1.00008     0.01863 
   66.36120     1.00015     0.01858 
   66.36140     1.00011     0.01863 
   66.36160     1.00013     0.01853 
   66.36180     1.00011     0.01853 
   66.36200     1.00008     0.01863 
   66.36220     1.00008     0.01873 
   66.36240     1.00018     0.01868 
   66.36260     1.00003     0.01858 
   66.36280     1.00013     0.01878 
   66.36300     1.00013     0.01878 
   66.36320     1.00005     0.01873 
   66.36340     1.00015     0.01873 
   66.36360     1.00005     0.01892 
   66.36380     1.00026     0.01888 
   66.36400     1.00005     0.01902 
   66.36420     1.00005     0.01902 
   66.36440     1.00013     0.01897 
   66.36460     1.00011     0.01907 
   66.36480     1.00011     0.01897 
   66.36500     1.00011     0.01907 
   66.36520     1.00018     0.01912 
   66.36540     1.00000     0.01897 
   66.36560     1.00015     0.01892 
   66.36580     1.00011     0.01897 
   66.36600     1.00008     0.01902 
   66.36620     1.00015     0.01922 
   66.36640     1.00011     0.01922 
   66.36660     1.00008     0.01912 
   66.36680     1.00008     0.01897 
   66.36700     1.00013     0.01917 
   66.36720     1.00005     0.01917 
   66.36740     1.00015     0.01927 
   66.36760     1.00015     0.01917 
   66.36780     1.00008     0.01927 
   66.36800     1.00008     0.01947 
   66.36820     1.00011     0.01937 
   66.36840     1.00005     0.01942 
   66.36860     1.00011     0.01947 
   66.36880     1.00011     0.01922 
   66.36900     1.00005     0.01942 
   66.36920     1.00013     0.01942 
   66.36940     1.00008     0.01967 
   66.36960     1.00008     0.01942 
   66.36980     1.00015     0.01952 
   66.37000     1.00008     0.01937 
   66.37020     1.00008     0.01952 
   66.37040     1.00011     0.01947 
   66.37060     1.00008     0.01947 
   66.37080     1.00013     0.01932 
   66.37100     1.00005     0.01932 
   66.37120     1.00003     0.01942 
   66.37140     1.00021     0.01952 
   66.37160     1.00003     0.01952 
   66.37180     1.00005     0.01932 
   66.37200     1.00013     0.01937 
   66.37220     1.00008     0.01942 
   66.37240     1.00011     0.01952 
   66.37260     1.00011     0.01952 
   66.37280     1.00011     0.01952 
   66.37300     1.00011     0.01972 
   66.37320     1.00011     0.01972 
   66.37340     1.00011     0.01982 
   66.37360     1.00005     0.01982 
   66.37380     1.00008     0.01987 
   66.37400     1.00018     0.01987 
   66.37420     1.00013     0.01996 
   66.37440     1.00005     0.01996 
   66.37460     1.00015     0.01992 
   66.37480     1.00008     0.02006 
   66.37500     1.00008     0.02006 
   66.37520     1.00013     0.02001 
   66.37540     1.00008     0.02006 
   66.37560     1.00018     0.01996 
   66.37580     1.00008     0.02001 
   66.37600     1.00008     0.02006 
   66.37620     1.00018     0.02001 
   66.37640     1.00005     0.02006 
   66.37660     1.00015     0.02001 
   66.37680     1.00005     0.02006 
   66.37700     1.00011     0.01992 
   66.37720     1.00015     0.02001 
   66.37740     1.00005     0.01996 
   66.37760     1.00015     0.01992 
   66.37780     1.00005     0.01996 
   66.37800     1.00015     0.02006 
   66.37820     1.00013     0.02016 
   66.37840     1.00013     0.02021 
   66.37860     1.00013     0.02031 
   66.37880     1.00011     0.02021 
   66.37900     1.00008     0.02026 
   66.37920     1.00013     0.02031 
   66.37940     1.00003     0.02031 
   66.37960     1.00011     0.02041 
   66.37980     1.00013     0.02036 
   66.38000     1.00008     0.02036 
   66.38020     1.00008     0.02031 
   66.38040     1.00015     0.02041 
   66.38060     1.00003     0.02056 
   66.38080     1.00008     0.02036 
   66.38100     1.00011     0.02046 
   66.38120     1.00000     0.02046 
   66.38140     1.00011     0.02051 
   66.38160     1.00011     0.02046 
   66.38180     1.00008     0.02046 
   66.38200     1.00011     0.02046 
   66.38220     1.00013     0.02056 
   66.38240     1.00011     0.02056 
   66.38260     1.00013     0.02051 
   66.38280     1.00008     0.02061 
   66.38300     1.00018     0.02061 
   66.38320     1.00008     0.02066 
   66.38340     1.00000     0.02081 
   66.38360     1.00021     0.02076 
   66.38380     1.00013     0.02091 
   66.38400     1.00008     0.02091 
   66.38420     1.00015     0.02101 
   66.38440     1.00008     0.02076 
   66.38460     1.00008     0.02091 
   66.38480     1.00005     0.02096 
   66.38500     1.00011     0.02105 
   66.38520     1.00018     0.02115 
   66.38540     1.00008     0.02105 
   66.38560     1.00008     0.02101 
   66.38580     1.00011     0.02101 
   66.38600     1.00013     0.02091 
   66.38620     1.00013     0.02091 
   66.38640     1.00008     0.02096 
   66.38660     1.00011     0.02091 
   66.38680     1.00005     0.02096 
   66.38700     1.00018     0.02086 
   66.38720     1.00008     0.02101 
   66.38740     1.00011     0.02105 
   66.38760     1.00015     0.02091 
   66.38780     1.00011     0.02110 
   66.38800     1.00013     0.02125 
   66.38820     1.00005     0.02125 
   66.38840     1.00008     0.02115 
   66.38860     1.00018     0.02125 
   66.38880     1.00013     0.02130 
   66.38900     1.00005     0.02140 
   66.38920     1.00008     0.02145 
   66.38940     1.00013     0.02150 
   66.38960     1.00013     0.02155 
   66.38980     1.00013     0.02145 
   66.39000     1.00008     0.02160 
   66.39020     1.00013     0.02175 
   66.39040     1.00013     0.02160 
   66.39060     1.00013     0.02165 
   66.39080     1.00013     0.02160 
   66.39100     1.00003     0.02160 
