ASI600A Export Data File
Created: Wed Sep  9 13:05:06 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
    0.03660     1.00008     0.00005 
    0.03680     1.00013     0.00005 
    0.03700     1.00011     0.00010 
    0.03720     1.00003     0.00025 
    0.03740     1.00013     0.00035 
    0.03760     1.00021     0.00010 
    0.03780     1.00003     0.00015 
    0.03800     1.00013     0.00005 
    0.03820     1.00005     0.00020 
    0.03840     1.00018     0.00025 
    0.03860     1.00011     0.00030 
    0.03880     1.00015     0.00030 
    0.03900     1.00015     0.00015 
    0.03920     1.00005     0.00000 
    0.03940     1.00024     0.00010 
    0.03960     1.00003     0.00025 
    0.03980     0.99997     0.00020 
    0.04000     1.00021     0.00010 
    0.04020     1.00005     0.00020 
    0.04040     1.00000     0.00015 
    0.04060     1.00011     0.00015 
    0.04080     1.00015     0.00020 
    0.04100     1.00011     0.00015 
    0.04120     1.00011     0.00025 
    0.04140     1.00008     0.00020 
    0.04160     1.00005     0.00020 
    0.04180     1.00008     0.00010 
    0.04200     1.00008    -0.00005 
    0.04220     1.00005     0.00005 
    0.04240     1.00008    -0.00005 
    0.04260     1.00011     0.00000 
    0.04280     1.00011     0.00005 
    0.04300     1.00015     0.00015 
    0.04320     1.00000     0.00025 
    0.04340     1.00015     0.00005 
    0.04360     1.00008     0.00010 
    0.04380     1.00013     0.00010 
    0.04400     1.00008     0.00005 
    0.04420     1.00005     0.00020 
    0.04440     1.00008     0.00010 
    0.04460     1.00008     0.00025 
    0.04480     1.00013     0.00010 
    0.04500     1.00005     0.00005 
    0.04520     1.00015     0.00005 
    0.04540     1.00015     0.00020 
    0.04560     1.00000     0.00000 
    0.04580     1.00008     0.00010 
    0.04600     1.00008     0.00025 
    0.04620     1.00015     0.00005 
    0.04640     1.00013     0.00005 
    0.04660     1.00008     0.00005 
    0.04680     1.00011     0.00010 
    0.04700     1.00008     0.00020 
    0.04720     1.00008     0.00015 
    0.04740     1.00005     0.00020 
    0.04760     1.00005     0.00025 
    0.04780     1.00011     0.00010 
    0.04800     1.00013     0.00010 
    0.04820     1.00008     0.00010 
    0.04840     1.00005     0.00010 
    0.04860     1.00013     0.00010 
    0.04880     1.00015     0.00000 
    0.04900     1.00003     0.00005 
    0.04920     1.00013     0.00020 
    0.04940     1.00005     0.00000 
    0.04960     1.00008     0.00000 
    0.04980     1.00021     0.00025 
    0.05000     1.00005     0.00005 
    0.05020     0.99995     0.00025 
    0.05040     1.00013     0.00015 
    0.05060     1.00005     0.00020 
    0.05080     0.99995     0.00000 
    0.05100     1.00015     0.00010 
    0.05120     1.00008     0.00005 
    0.05140     1.00003    -0.00015 
    0.05160     1.00018     0.00015 
    0.05180     1.00003     0.00020 
    0.05200     1.00011     0.00025 
    0.05220     1.00011    -0.00005 
    0.05240     1.00011     0.00015 
    0.05260     1.00011     0.00020 
    0.05280     1.00005     0.00010 
    0.05300     1.00011     0.00030 
    0.05320     1.00005     0.00020 
    0.05340     1.00005     0.00020 
    0.05360     1.00011     0.00010 
    0.05380     1.00005     0.00010 
    0.05400     1.00011     0.00000 
    0.05420     1.00011     0.00000 
    0.05440     1.00011     0.00010 
    0.05460     1.00005     0.00005 
    0.05480     1.00008     0.00005 
    0.05500     1.00013     0.00020 
    0.05520     1.00003     0.00000 
    0.05540     1.00015     0.00005 
    0.05560     1.00011     0.00020 
    0.05580     1.00011     0.00030 
    0.05600     1.00013     0.00020 
    0.05620     1.00003     0.00015 
    0.05640     1.00015     0.00005 
    0.05660     0.99997     0.00000 
    0.05680     1.00015     0.00000 
    0.05700     1.00008     0.00015 
    0.05720     1.00011     0.00005 
    0.05740     1.00013     0.00010 
    0.05760     1.00005     0.00020 
    0.05780     1.00013     0.00025 
    0.05800     1.00008     0.00015 
    0.05820     1.00003     0.00005 
    0.05840     1.00015     0.00015 
    0.05860     1.00005     0.00005 
    0.05880     1.00011     0.00020 
    0.05900     1.00011     0.00035 
    0.05920     1.00011    -0.00010 
    0.05940     1.00008     0.00020 
