ASI600A Export Data File
Created: Wed Sep  9 13:02:08 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.33700     1.00008     0.01085 
   66.33720     1.00005     0.01090 
   66.33740     1.00011     0.01085 
   66.33760     1.00013     0.01075 
   66.33780     1.00005     0.01065 
   66.33800     1.00011     0.01050 
   66.33820     1.00008     0.01055 
   66.33840     1.00011     0.01040 
   66.33860     1.00018     0.01040 
   66.33880     1.00011     0.01040 
   66.33900     1.00005     0.01070 
   66.33920     1.00008     0.01085 
   66.33940     1.00013     0.01085 
   66.33960     1.00011     0.01075 
   66.33980     1.00003     0.01110 
   66.34000     1.00024     0.01125 
   66.34020     1.00003     0.01139 
   66.34040     1.00011     0.01154 
   66.34060     1.00008     0.01174 
   66.34080     1.00008     0.01184 
   66.34100     1.00013     0.01209 
   66.34120     1.00008     0.01199 
   66.34140     1.00008     0.01209 
   66.34160     1.00005     0.01209 
   66.34180     1.00013     0.01199 
   66.34200     1.00008     0.01179 
   66.34220     1.00011     0.01164 
   66.34240     1.00015     0.01164 
   66.34260     1.00008     0.01149 
   66.34280     1.00008     0.01139 
   66.34300     1.00015     0.01130 
   66.34320     1.00005     0.01095 
   66.34340     1.00011     0.01085 
   66.34360     1.00013     0.01080 
   66.34380     1.00008     0.01050 
   66.34400     1.00008     0.01050 
   66.34420     1.00008     0.01050 
   66.34440     1.00011     0.01060 
   66.34460     1.00011     0.01065 
   66.34480     1.00011     0.01085 
   66.34500     1.00008     0.01095 
   66.34520     1.00011     0.01110 
   66.34540     1.00011     0.01125 
   66.34560     1.00011     0.01149 
   66.34580     1.00011     0.01159 
   66.34600     1.00011     0.01164 
   66.34620     1.00005     0.01184 
   66.34640     1.00008     0.01184 
   66.34660     1.00013     0.01199 
   66.34680     1.00008     0.01194 
   66.34700     1.00013     0.01209 
   66.34720     1.00011     0.01209 
   66.34740     1.00008     0.01209 
   66.34760     1.00011     0.01199 
   66.34780     1.00000     0.01199 
   66.34800     1.00011     0.01189 
   66.34820     1.00021     0.01194 
   66.34840     1.00008     0.01174 
   66.34860     1.00008     0.01184 
   66.34880     1.00018     0.01194 
   66.34900     1.00011     0.01194 
   66.34920     1.00008     0.01199 
   66.34940     1.00005     0.01189 
   66.34960     1.00011     0.01204 
   66.34980     1.00013     0.01199 
   66.35000     1.00013     0.01219 
   66.35020     1.00005     0.01219 
   66.35040     1.00013     0.01239 
   66.35060     1.00011     0.01234 
   66.35080     1.00011     0.01248 
   66.35100     1.00013     0.01263 
   66.35120     1.00015     0.01248 
   66.35140     1.00008     0.01258 
   66.35160     1.00011     0.01219 
   66.35180     1.00011     0.01234 
   66.35200     0.99997     0.01219 
   66.35220     1.00005     0.01224 
   66.35240     1.00008     0.01214 
   66.35260     1.00008     0.01209 
   66.35280     1.00011     0.01204 
   66.35300     1.00013     0.01209 
   66.35320     1.00013     0.01194 
   66.35340     1.00008     0.01189 
   66.35360     1.00005     0.01179 
   66.35380     1.00013     0.01184 
   66.35400     1.00008     0.01184 
   66.35420     1.00000     0.01189 
   66.35440     1.00008     0.01214 
   66.35460     1.00008     0.01209 
   66.35480     1.00008     0.01234 
   66.35500     1.00013     0.01239 
   66.35520     1.00011     0.01253 
   66.35540     1.00011     0.01248 
   66.35560     1.00013     0.01263 
   66.35580     1.00015     0.01283 
   66.35600     1.00008     0.01283 
   66.35620     1.00008     0.01303 
   66.35640     1.00013     0.01293 
   66.35660     1.00008     0.01318 
   66.35680     1.00021     0.01318 
   66.35700     1.00003     0.01313 
   66.35720     1.00013     0.01318 
   66.35740     1.00011     0.01298 
   66.35760     1.00011     0.01303 
   66.35780     1.00011     0.01293 
   66.35800     1.00008     0.01283 
   66.35820     1.00005     0.01283 
   66.35840     1.00008     0.01263 
   66.35860     1.00011     0.01278 
   66.35880     1.00013     0.01278 
   66.35900     1.00003     0.01273 
   66.35920     1.00011     0.01278 
   66.35940     1.00003     0.01263 
   66.35960     1.00008     0.01283 
   66.35980     1.00008     0.01283 
   66.36000     1.00011     0.01293 
   66.36020     1.00011     0.01293 
   66.36040     1.00011     0.01308 
   66.36060     1.00013     0.01313 
   66.36080     1.00008     0.01333 
   66.36100     1.00013     0.01343 
   66.36120     1.00013     0.01338 
   66.36140     1.00005     0.01328 
   66.36160     1.00008     0.01362 
   66.36180     1.00013     0.01357 
   66.36200     1.00011     0.01362 
   66.36220     1.00008     0.01343 
   66.36240     1.00013     0.01357 
   66.36260     1.00005     0.01352 
   66.36280     1.00005     0.01357 
   66.36300     1.00003     0.01357 
   66.36320     1.00013     0.01348 
   66.36340     1.00008     0.01323 
   66.36360     1.00011     0.01343 
   66.36380     1.00013     0.01328 
   66.36400     1.00005     0.01328 
   66.36420     1.00013     0.01338 
   66.36440     1.00013     0.01372 
   66.36460     1.00005     0.01357 
   66.36480     1.00003     0.01377 
   66.36500     1.00013     0.01367 
   66.36520     1.00013     0.01372 
   66.36540     1.00000     0.01377 
   66.36560     1.00018     0.01382 
   66.36580     1.00013     0.01382 
   66.36600     1.00005     0.01407 
   66.36620     1.00015     0.01412 
   66.36640     1.00005     0.01422 
   66.36660     1.00000     0.01427 
   66.36680     1.00021     0.01432 
   66.36700     1.00008     0.01427 
   66.36720     1.00005     0.01392 
   66.36740     1.00018     0.01407 
   66.36760     1.00008     0.01412 
   66.36780     1.00005     0.01397 
   66.36800     1.00021     0.01397 
   66.36820     1.00011     0.01407 
   66.36840     1.00008     0.01397 
   66.36860     1.00013     0.01407 
   66.36880     1.00008     0.01407 
   66.36900     1.00011     0.01412 
   66.36920     1.00011     0.01412 
   66.36940     1.00013     0.01422 
   66.36960     1.00005     0.01392 
   66.36980     1.00008     0.01417 
   66.37000     1.00011     0.01437 
   66.37020     1.00011     0.01442 
   66.37040     1.00011     0.01456 
   66.37060     1.00008     0.01466 
   66.37080     1.00008     0.01471 
   66.37100     1.00013     0.01481 
   66.37120     1.00011     0.01476 
   66.37140     1.00015     0.01471 
   66.37160     1.00003     0.01481 
   66.37180     1.00008     0.01476 
