ASI600A Export Data File
Created: Wed Sep  9 12:58:54 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.30100     1.00009     0.01584 
   66.30200     1.00010     0.01673 
   66.30300     1.00009     0.01759 
   66.30400     1.00008     0.01756 
   66.30500     1.00009     0.01691 
   66.30600     1.00009     0.01642 
   66.30700     1.00009     0.01651 
   66.30800     1.00008     0.01689 
   66.30900     1.00010     0.01672 
   66.31000     1.00008     0.01655 
   66.31100     1.00009     0.01673 
   66.31200     1.00009     0.01744 
   66.31300     1.00009     0.01787 
   66.31400     1.00006     0.01762 
   66.31500     1.00007     0.01687 
   66.31600     1.00010     0.01661 
   66.31700     1.00008     0.01710 
   66.31800     1.00010     0.01782 
   66.31900     1.00008     0.01798 
   66.32000     1.00010     0.01799 
   66.32100     1.00011     0.01792 
   66.32200     1.00010     0.01816 
   66.32300     1.00013     0.01840 
   66.32400     1.00009     0.01831 
   66.32500     1.00009     0.01809 
   66.32600     1.00008     0.01812 
   66.32700     1.00006     0.01864 
   66.32800     1.00008     0.01902 
   66.32900     1.00009     0.01912 
   66.33000     1.00009     0.01887 
   66.33100     1.00009     0.01885 
   66.33200     1.00010     0.01912 
   66.33300     1.00008     0.01948 
   66.33400     1.00010     0.01975 
   66.33500     1.00010     0.01953 
   66.33600     1.00009     0.01957 
   66.33700     1.00009     0.01987 
   66.33800     1.00009     0.02011 
   66.33900     1.00008     0.02023 
   66.34000     1.00008     0.02036 
   66.34100     1.00008     0.02047 
   66.34200     1.00007     0.02069 
   66.34300     1.00008     0.02105 
   66.34400     1.00007     0.02092 
   66.34500     1.00009     0.02082 
   66.34600     1.00008     0.02102 
   66.34700     1.00007     0.02123 
   66.34800     1.00009     0.02144 
   66.34900     1.00008     0.02174 
   66.35000     1.00010     0.02175 
   66.35100     1.00010     0.02181 
   66.35200     1.00006     0.02202 
   66.35300     1.00008     0.02189 
   66.35400     1.00008     0.02204 
   66.35500     1.00010     0.02215 
   66.35600     1.00008     0.02234 
   66.35700     1.00009     0.02267 
   66.35800     1.00009     0.02296 
   66.35900     1.00008     0.02307 
   66.36000     1.00010     0.02303 
   66.36100     1.00008     0.02319 
   66.36200     1.00007     0.02331 
   66.36300     1.00007     0.02347 
   66.36400     1.00009     0.02358 
   66.36500     1.00009     0.02378 
   66.36600     1.00008     0.02405 
   66.36700     1.00006     0.02427 
   66.36800     1.00009     0.02426 
   66.36900     1.00009     0.02427 
   66.37000     1.00011     0.02428 
   66.37100     1.00009     0.02441 
   66.37200     1.00009     0.02467 
   66.37300     1.00008     0.02483 
   66.37400     1.00009     0.02487 
   66.37500     1.00008     0.02500 
   66.37600     1.00008     0.02505 
   66.37700     1.00009     0.02521 
   66.37800     1.00011     0.02535 
   66.37900     1.00008     0.02533 
   66.38000     1.00008     0.02539 
   66.38100     1.00010     0.02565 
   66.38200     1.00008     0.02582 
   66.38300     1.00009     0.02590 
   66.38400     1.00008     0.02599 
   66.38500     1.00009     0.02601 
   66.38600     1.00008     0.02620 
   66.38700     1.00007     0.02654 
   66.38800     1.00011     0.02662 
   66.38900     1.00007     0.02663 
   66.39000     1.00013     0.02671 
   66.39100     1.00010     0.02678 
   66.39200     1.00006     0.02696 
   66.39300     1.00010     0.02718 
   66.39400     1.00009     0.02728 
   66.39500     1.00010     0.02735 
   66.39600     1.00010     0.02755 
   66.39700     1.00008     0.02779 
   66.39800     1.00008     0.02792 
   66.39900     1.00010     0.02797 
   66.40000     1.00012     0.02797 
   66.40100     1.00007     0.02813 
   66.40200     1.00010     0.02831 
   66.40300     1.00010     0.02855 
   66.40400     1.00008     0.02873 
   66.40500     1.00009     0.02874 
   66.40600     1.00004     0.02886 
   66.40700     1.00010     0.02904 
   66.40800     1.00009     0.02926 
   66.40900     1.00011     0.02927 
   66.41000     1.00012     0.02942 
   66.41100     1.00010     0.02956 
   66.41200     1.00009     0.02986 
   66.41300     1.00008     0.03007 
   66.41400     1.00008     0.03017 
   66.41500     1.00010     0.03017 
   66.41600     1.00008     0.03041 
   66.41700     1.00008     0.03060 
   66.41800     1.00009     0.03076 
   66.41900     1.00009     0.03092 
   66.42000     1.00011     0.03099 
   66.42100     1.00005     0.03122 
   66.42200     1.00008     0.03144 
   66.42300     1.00010     0.03154 
   66.42400     1.00010     0.03169 
   66.42500     1.00011     0.03179 
   66.42600     1.00008     0.03197 
   66.42700     1.00008     0.03217 
   66.42800     1.00009     0.03240 
   66.42900     1.00008     0.03249 
   66.43000     1.00011     0.03255 
   66.43100     1.00008     0.03277 
   66.43200     1.00007     0.03285 
   66.43300     1.00010     0.03312 
   66.43400     1.00009     0.03326 
   66.43500     1.00011     0.03344 
   66.43600     1.00007     0.03350 
   66.43700     1.00010     0.03363 
   66.43800     1.00009     0.03372 
   66.43900     1.00009     0.03395 
   66.44000     1.00010     0.03412 
   66.44100     1.00007     0.03427 
   66.44200     1.00010     0.03447 
   66.44300     1.00011     0.03455 
   66.44400     1.00008     0.03474 
   66.44500     1.00008     0.03489 
   66.44600     1.00010     0.03493 
   66.44700     1.00012     0.03498 
   66.44800     1.00010     0.03532 
   66.44900     1.00007     0.03551 
   66.45000     1.00011     0.03562 
   66.45100     1.00007     0.03584 
   66.45200     1.00009     0.03589 
   66.45300     1.00010     0.03596 
   66.45400     1.00008     0.03624 
   66.45500     1.00008     0.03634 
   66.45600     1.00011     0.03640 
   66.45700     1.00009     0.03665 
   66.45800     1.00006     0.03670 
   66.45900     1.00010     0.03692 
   66.46000     1.00009     0.03716 
   66.46100     1.00011     0.03721 
   66.46200     1.00013     0.03731 
   66.46300     1.00009     0.03750 
   66.46400     1.00008     0.03755 
   66.46500     1.00009     0.03785 
   66.46600     1.00008     0.03798 
   66.46700     1.00011     0.03807 
   66.46800     1.00010     0.03822 
   66.46900     1.00011     0.03843 
   66.47000     1.00009     0.03849 
   66.47100     1.00010     0.03865 
   66.47200     1.00008     0.03880 
   66.47300     1.00010     0.03899 
   66.47400     1.00004     0.03915 
   66.47500     1.00010     0.03931 
   66.47600     1.00010     0.03941 
   66.47700     1.00009     0.03960 
   66.47800     1.00011     0.03972 
   66.47900     1.00010     0.03987 
   66.48000     1.00011     0.04010 
   66.48100     1.00007     0.04037 
   66.48200     1.00010     0.04043 
   66.48300     1.00010     0.04055 
   66.48400     1.00008     0.04066 
   66.48500     1.00010     0.04081 
   66.48600     1.00008     0.04112 
   66.48700     1.00010     0.04121 
   66.48800     1.00011     0.04129 
   66.48900     1.00008     0.04151 
   66.49000     1.00010     0.04177 
   66.49100     1.00011     0.04182 
   66.49200     1.00010     0.04216 
   66.49300     1.00009     0.04216 
   66.49400     1.00009     0.04234 
   66.49500     1.00007     0.04263 
   66.49600     1.00009     0.04275 
   66.49700     1.00009     0.04290 
   66.49800     1.00010     0.04318 
   66.49900     1.00008     0.04325 
   66.50000     1.00008     0.04343 
   66.50100     1.00005     0.04366 
   66.50200     1.00011     0.04379 
   66.50300     1.00007     0.04393 
   66.50400     1.00009     0.04418 
   66.50500     1.00009     0.04430 
