ASI600A Export Data File
Created: Wed Sep  9 12:58:33 2020
    Time        L in        F in    
    (s)         (Lo)        (mN)    
   66.48500     1.00010     0.01674 
   66.48600     1.00013     0.01683 
   66.48700     1.00009     0.01693 
   66.48800     1.00012     0.01703 
   66.48900     1.00012     0.01705 
   66.49000     1.00010     0.01717 
   66.49100     1.00009     0.01723 
   66.49200     1.00007     0.01733 
   66.49300     1.00008     0.01734 
   66.49400     1.00012     0.01749 
   66.49500     1.00010     0.01765 
   66.49600     1.00005     0.01768 
   66.49700     1.00013     0.01772 
   66.49800     1.00010     0.01779 
   66.49900     1.00011     0.01786 
   66.50000     1.00010     0.01800 
   66.50100     1.00007     0.01806 
   66.50200     1.00010     0.01818 
   66.50300     1.00011     0.01810 
   66.50400     1.00010     0.01838 
   66.50500     1.00013     0.01848 
   66.50600     1.00007     0.01848 
   66.50700     1.00010     0.01857 
   66.50800     1.00008     0.01868 
   66.50900     1.00010     0.01883 
   66.51000     1.00011     0.01889 
   66.51100     1.00011     0.01902 
   66.51200     1.00011     0.01904 
   66.51300     1.00010     0.01906 
   66.51400     1.00009     0.01920 
   66.51500     1.00008     0.01930 
   66.51600     1.00011     0.01951 
   66.51700     1.00011     0.01948 
   66.51800     1.00008     0.01964 
   66.51900     1.00009     0.01967 
   66.52000     1.00011     0.01979 
   66.52100     1.00010     0.01994 
   66.52200     1.00009     0.01998 
   66.52300     1.00008     0.02007 
   66.52400     1.00010     0.02019 
   66.52500     1.00009     0.02034 
   66.52600     1.00011     0.02037 
   66.52700     1.00012     0.02049 
   66.52800     1.00009     0.02050 
   66.52900     1.00012     0.02066 
   66.53000     1.00008     0.02081 
   66.53100     1.00010     0.02094 
   66.53200     1.00009     0.02102 
   66.53300     1.00010     0.02103 
   66.53400     1.00013     0.02111 
   66.53500     1.00009     0.02116 
   66.53600     1.00010     0.02125 
   66.53700     1.00010     0.02137 
   66.53800     1.00007     0.02146 
   66.53900     1.00010     0.02148 
   66.54000     1.00009     0.02160 
   66.54100     1.00011     0.02175 
   66.54200     1.00007     0.02181 
   66.54300     1.00007     0.02182 
   66.54400     1.00011     0.02191 
   66.54500     1.00010     0.02196 
   66.54600     1.00010     0.02211 
   66.54700     1.00009     0.02220 
   66.54800     1.00010     0.02233 
   66.54900     1.00009     0.02228 
   66.55000     1.00007     0.02242 
   66.55100     1.00009     0.02245 
   66.55200     1.00010     0.02247 
   66.55300     1.00007     0.02265 
   66.55400     1.00011     0.02264 
   66.55500     1.00011     0.02276 
   66.55600     1.00010     0.02283 
   66.55700     1.00009     0.02302 
   66.55800     1.00011     0.02300 
   66.55900     1.00008     0.02312 
   66.56000     1.00010     0.02317 
   66.56100     1.00010     0.02322 
   66.56200     1.00010     0.02330 
   66.56300     1.00010     0.02341 
   66.56400     1.00008     0.02353 
   66.56500     1.00009     0.02353 
   66.56600     1.00011     0.02366 
   66.56700     1.00005     0.02376 
   66.56800     1.00008     0.02396 
   66.56900     1.00009     0.02396 
   66.57000     1.00009     0.02403 
   66.57100     1.00009     0.02406 
   66.57200     1.00011     0.02424 
   66.57300     1.00010     0.02438 
   66.57400     1.00011     0.02431 
   66.57500     1.00009     0.02451 
   66.57600     1.00009     0.02452 
   66.57700     1.00008     0.02467 
   66.57800     1.00008     0.02488 
   66.57900     1.00008     0.02488 
   66.58000     1.00009     0.02504 
   66.58100     1.00012     0.02506 
   66.58200     1.00013     0.02519 
   66.58300     1.00011     0.02526 
   66.58400     1.00007     0.02536 
   66.58500     1.00010     0.02550 
   66.58600     1.00010     0.02556 
   66.58700     1.00009     0.02570 
   66.58800     1.00008     0.02579 
   66.58900     1.00010     0.02593 
   66.59000     1.00009     0.02602 
   66.59100     1.00013     0.02609 
   66.59200     1.00010     0.02619 
   66.59300     1.00011     0.02634 
   66.59400     1.00010     0.02641 
   66.59500     1.00011     0.02658 
