x,a
2.35359,0.19894
2.39503,0.26865
2.40424,0.21937
2.42035,0.20918
2.43877,0.182
2.43646,0.21769
2.46179,0.21771
2.42956,0.24488
2.44567,0.28569
2.46869,0.267
2.4756,0.24321
2.4802,0.17693
2.50092,0.23473
2.53085,0.22965
2.49171,0.27382
2.51473,0.27723
2.53775,0.30275
2.56077,0.30446
2.56077,0.24497
2.593,0.2059
2.62753,0.22632
2.60681,0.2399
2.60681,0.2654
2.57689,0.27898
2.63444,0.28581
2.66897,0.28414
2.68278,0.27055
2.65746,0.30793
2.69199,0.30625
2.71731,0.27567
2.71501,0.30796
2.73573,0.30798
2.71041,0.34026
2.73803,0.22299
2.75414,0.22301
2.75645,0.2689
2.77947,0.28251
2.79098,0.28082
2.80479,0.32162
2.85543,0.29786
2.86004,0.28767
2.86464,0.37945
2.88076,0.34037
2.88766,0.32678
2.89917,0.32679
2.95442,0.29453
2.95442,0.31663
2.94521,0.33022
2.95212,0.36422
2.97744,0.34554
2.99125,0.32855
3.03039,0.32688
3.01657,0.34896
3.02348,0.37276
3.0465,0.38468
3.0465,0.39658
3.0511,0.42037
3.0488,0.36258
3.05801,0.34219
3.07873,0.32861
3.09254,0.32522
3.10175,0.35242
3.08103,0.3677
3.08564,0.3864
3.11096,0.40172
3.13628,0.40514
3.16851,0.39496
3.13628,0.35584
3.11786,0.37283
3.13398,0.38134
3.17081,0.36946
3.19843,0.36098
3.19383,0.33549
3.23527,0.33891
3.2744,0.32534
3.23987,0.36271
3.22376,0.378
3.20304,0.42048
3.25138,0.38822
3.26519,0.37293
3.28361,0.39504
3.30203,0.41205
3.30663,0.42225
3.34116,0.41207
3.32735,0.39167
3.31123,0.38146
3.31354,0.36446
3.32965,0.36787
3.32965,0.33558
3.39411,0.34072
3.41943,0.34924
3.45396,0.35946
3.40101,0.38492
3.44245,0.39345
3.37109,0.41379
3.41022,0.42062
3.4954,0.37818
3.44936,0.43254
3.46317,0.42065
3.47928,0.41047
3.50691,0.42238
3.5,0.44448
3.52532,0.43429
3.55295,0.40712
3.57827,0.43603
3.58517,0.36805
3.57827,0.39524
3.59899,0.40545
3.60589,0.39696
3.6151,0.45815
3.63122,0.48876
3.64503,0.41228
3.64963,0.42928
3.66575,0.41909
3.66575,0.44629
3.67495,0.46669
3.69337,0.4973
3.70718,0.48711
3.70258,0.44291
3.67726,0.4038
3.70028,0.40552
3.68646,0.36982
3.71869,0.40383
3.74862,0.40045
3.78315,0.38518
3.77164,0.36817
3.73481,0.42254
3.7325,0.45823
3.77164,0.49395
3.76243,0.46675
3.76013,0.43955
3.77624,0.41747
3.80847,0.42089
3.84991,0.39032
3.8453,0.42091
3.81768,0.43959
3.78315,0.45487
3.80617,0.47698
3.82459,0.49569
3.83149,0.51949
3.85912,0.50931
3.843,0.4787
3.8361,0.4583
3.86602,0.43963
3.88444,0.43114
3.90055,0.41415
3.93278,0.40228
3.94659,0.35979
3.97652,0.4159
3.94429,0.43458
3.91436,0.43796
