x,a
3.90976,0.46345
3.88214,0.47363
3.88674,0.49913
3.89134,0.52463
3.93048,0.52975
3.96501,0.52808
3.99724,0.5366
4.03407,0.54172
3.98343,0.51279
3.9535,0.51277
3.91436,0.50935
3.93278,0.48556
3.9489,0.45498
4.00414,0.46182
3.97652,0.48899
4.00875,0.50261
4.02947,0.50263
4.064,0.50265
4.09622,0.50607
4.08011,0.54005
4.10543,0.56897
4.13076,0.52989
4.09392,0.45678
4.15838,0.51461
4.16068,0.53671
4.16529,0.55031
4.19751,0.55373
4.22974,0.56905
4.1814,0.58092
4.20212,0.51634
4.23435,0.52826
4.22284,0.51806
4.25276,0.51468
4.26197,0.49599
4.2942,0.513
4.2965,0.5419
4.2965,0.564
4.33103,0.55382
4.36786,0.54535
4.46915,0.55732
4.45994,0.58451
4.19521,0.43305
2.53545,0.26025
2.54466,0.27725
2.57689,0.25518
2.49862,0.25513
2.45028,0.2466
2.43646,0.26528
2.41114,0.24487

x,b
2.35129,0.33661
2.39273,0.36554
2.39503,0.40123
2.39733,0.37404
2.39963,0.33495
2.41114,0.34685
2.42956,0.34516
2.43084,0.37581
2.43449,0.35963
2.43815,0.4001
2.44567,0.34857
2.45185,0.39943
2.45916,0.36234
2.46647,0.37921
2.47469,0.36033
2.48291,0.38799
2.48382,0.4143
2.49113,0.43184
2.5021,0.33471
2.50392,0.39475
2.50575,0.37047
2.51214,0.41027
2.52585,0.38397
2.53042,0.42782
2.5359,0.39612
2.53955,0.41164
2.55051,0.4447
2.55234,0.38938
2.55965,0.4076
2.56787,0.4238
2.57244,0.37861
2.58157,0.45011
2.5834,0.39278
2.59162,0.40627
2.59619,0.37053
2.60533,0.41843
2.60807,0.38403
2.60898,0.40089
2.61355,0.44474
2.61994,0.41034
2.62634,0.36043
2.64004,0.44341
2.65466,0.45556
2.66105,0.41104
2.66836,0.39216
2.67202,0.45624
2.68207,0.42118
2.68846,0.44749
2.70216,0.43266
2.70673,0.46032
2.71313,0.47718
2.7177,0.4239
2.7177,0.44346
2.73779,0.43066
2.74236,0.44887
2.75424,0.47789
2.77434,0.44417
2.78895,0.47589
2.76703,0.49813
2.80357,0.53053
2.8529,0.53731
2.85107,0.57374
2.86478,0.55553
2.88122,0.54947
2.90132,0.54207
2.98628,0.55764
2.95796,0.56302
2.94883,0.57245
2.96253,0.58258
2.97166,0.59068
2.96344,0.59877
2.93969,0.60348
2.95248,0.61832
2.96984,0.62576
2.99907,0.62645
3.02191,0.62647
3.01095,0.60892
3.02374,0.59476
3.02465,0.57655
3.0411,0.57319
3.0347,0.56037
3.06942,0.59007
3.05297,0.60355
3.03013,0.63861
3.05571,0.64605
3.09591,0.65619
3.12697,0.65689
3.13702,0.63396
3.1562,0.60699
3.12606,0.58606
3.13428,0.6117
3.10413,0.60763
3.08221,0.60087
3.07124,0.61233
3.06393,0.62514
3.08677,0.63663
3.09408,0.62179
3.11235,0.61911
3.17173,0.63264
3.18452,0.62118
3.19731,0.63468
3.20097,0.65829
3.16169,0.64949
3.15986,0.6704
3.17173,0.68593
3.16808,0.70346
3.19001,0.68324
3.22107,0.71429
3.22563,0.69676
3.23112,0.68057
3.25213,0.688
3.26218,0.67317
3.31151,0.66376
3.24756,0.71498
3.27314,0.71972
3.27405,0.70556
3.28776,0.6995
3.31151,0.69614
3.29963,0.70962
3.2905,0.72041
3.31334,0.7184
3.32613,0.70492
3.33526,0.72314
3.33252,0.75484
3.33526,0.77373
3.37363,0.74003
3.39556,0.74814
3.41474,0.7414
3.40012,0.71509
3.43575,0.76772
3.44854,0.77785
3.44398,0.79336
3.46133,0.80282
3.47778,0.82239
3.49422,0.80486
3.51066,0.7988
3.54995,0.75971
3.59837,0.78605
3.58558,0.81504
3.51158,0.83388
3.58101,0.88991
3.57279,0.87035
3.59014,0.85687
3.63217,0.83666
3.65592,0.82858
3.61207,0.88184
3.65227,0.88254
3.6413,0.9021
3.63765,0.91558
3.66323,0.90886
3.66871,0.89469
3.67511,0.88188
3.67967,0.87042
3.68881,0.89606
3.68515,0.91022
3.70708,0.90349
3.70708,0.91496
3.6952,0.92169
3.68881,0.93923
3.67236,0.95878
3.69794,0.96014
3.7016,0.95273
3.72809,0.95005
3.70982,0.93519
3.71622,0.92508
3.73266,0.93184
3.74545,0.94061
3.74819,0.9224
3.74545,0.91094
3.76738,0.91028
3.79021,0.90085
3.76738,0.92309
3.76555,0.93388
3.78565,0.9339
3.77377,0.9548
3.76372,0.96491
3.74728,0.97097
3.75367,0.98244
3.77286,0.99055
3.77012,0.97638
3.78291,0.96425
3.79661,0.95684
3.80392,0.94403
3.80666,0.92986
3.82493,0.93325
3.82128,0.94876
3.81397,0.95955
3.80849,0.97101
3.80483,0.98383
3.80666,0.99934
3.80666,1.00744
3.82128,0.98519
3.83772,0.99397
3.83772,1.00341
3.83955,1.0169
3.83132,1.03039
3.83498,0.9717
3.83315,0.95821
3.84046,0.94742
3.84137,0.94068
3.84868,0.92787
3.83589,0.91437
3.86239,0.93597
3.88614,0.93734
3.86239,0.95081
3.84685,0.96767
3.85416,0.98251
3.85782,1.01354
3.87243,1.02434
3.87609,1.0149
3.89162,1.02908
3.88979,1.03852
3.90075,1.05067
3.92268,1.04866
3.88248,0.9569
3.91354,0.92791
3.90258,0.91374
3.88888,0.90968
3.88979,0.97916
3.90075,1.00615
3.91263,1.01493
3.92451,1.0264
3.92542,1.03247
3.94369,1.02102
3.92633,1.00077
3.91446,0.9812
3.91354,0.99199
3.92268,0.96772
3.93273,0.97784
3.93912,0.98931
3.951,0.98392
3.95283,0.96909
3.94186,0.95964
3.94004,0.94479
3.95374,0.93064
3.96379,0.95358
3.9574,0.94346
3.95648,0.91378
3.97567,0.99811
3.96105,1.01091
3.97932,1.01565
3.96379,1.01968
3.9912,1.02038
3.99302,1.04061
3.98389,1.0487
3.99577,1.06085
4.00033,1.05074
4.02683,0.96576
4.07981,0.96715
4.03048,1.01366
4.04784,1.02581
4.05606,1.04133
4.08529,1.02921
4.08712,1.01977
4.10082,0.97526
4.11635,1.04879
4.16569,1.07581
4.15929,1.06838
4.1529,1.05421
4.15016,1.04072
4.15472,1.03128
4.17574,1.03129
4.19309,1.03738
4.19218,1.05829
4.19858,1.07111
4.20954,1.11294
4.2269,1.09271
4.24882,1.09003
4.25248,1.15614
4.28902,1.12176
4.30546,1.12717
4.32465,1.09143
4.29724,1.07792
4.2881,1.0597
4.36576,1.13125
4.45985,1.12457
