x,Curve1
2.199,66.78
2.3949,63.6
2.5971,60.42
2.7961,57.24
2.9984,73.14
3.2006,107.07
3.3997,134.63
3.6019,153.71
3.801,151.59
4,179.15
4.2055,203.53
4.4045,234.28
4.6067,269.26
4.809,296.82
5.0048,344.52
5.2071,362.54
5.4093,438.87
5.6083,453.71
5.8074,489.75
6,518.37
6.2087,666.78
6.4045,726.15
6.61,812.01
6.8026,809.89
7.008,877.74

x,Curve2
2.1958,139.93
2.3981,144.17
2.5939,164.31
2.8026,187.63
2.9984,220.49
3.1974,257.6
3.3997,305.3
3.5987,361.48
3.801,410.25
4,437.81
4.199,501.41
4.4013,569.26
4.6003,605.3
4.7994,668.9
5.0016,742.05
5.2071,707.07
5.4029,790.81
5.6019,807.77
5.801,861.84
6.0032,902.12
6.2022,912.72
6.4045,922.26
6.6035,986.93
6.8026,967.84
7.008,1001.77

x,Curve3
2.183,-2.12
2.3884,-2.12
2.5843,-1.06
2.7929,4.24
2.9856,10.6
3.191,18.02
3.3933,24.38
3.5955,37.1
3.8074,42.4
3.9968,62.54
4.1958,74.2
4.3949,78.45
4.6003,86.93
4.7994,106.01
5.0048,118.73
5.2039,131.45
5.4061,128.27
5.6083,124.03
5.8042,129.33
6.0032,120.85
6.2022,179.15

x,Curve4
2.1798,-2.12
2.3884,-2.12
2.5875,-1.06
2.7929,6.36
2.992,22.26
3.1846,50.88
3.39,74.2
3.5923,96.47
3.7913,117.67
3.9968,139.93
4.199,156.89
4.3917,168.55
4.6035,181.27
4.7961,205.65
4.9984,224.73
5.1942,241.7
5.4029,250.18
5.6051,265.02
5.8042,288.34
5.9968,308.48
6.2055,348.76
