x,10Hz
5.056,118.09
10.183,224.49
20.022,399.63
30.071,552.69
40.052,679.78
60.3,815.76

x,1Hz
4.99,75.23
10.116,179.03
19.955,363.27
30.144,500.74
40.125,633.02
60.027,748.24
