x,5
0.39253,74.259
0.62295,78.751
0.9834,82.864
1.5603,84.503
2.5295,91.03
3.9741,108.571
6.2393,110.718
9.852,124.52
15.636,133.61
24.94,133.61
39.392,159.36

x,10
0.39833,179.23
0.62539,184.21
0.9871,188.59
1.5662,192.32
2.5519,194.59
3.9862,209.62
6.2577,209.62
9.932,226.7
15.678,237.6
24.874,237.6
39.894,250.01

x,20
0.38915,359.85
0.63395,351.49
0.9952,355.65
1.5874,355.65
2.5869,372.76
3.9759,378.64
6.3083,381.62
9.904,393.77
15.8,407.89
25.335,406.3
39.99,420.87

x,30
0.39406,547.14
0.62823,492.24
0.9968,503.94
1.5732,505.92
2.5634,515.92
3.961,530.26
6.318,532.34
9.867,551.44
15.74,564.55
24.973,562.34
39.628,582.51

x,40
0.63225,620.18
0.9872,605.78
1.5997,601.05
2.5933,639.92
4.0283,647.48
6.2241,652.57
9.981,662.87
15.505,678.63
25.128,681.29
40.298,702.97

x,60
0.62966,806.24
1.0039,733.92
1.5759,731.05
2.5678,751.36
3.9892,778.32
6.3299,799.95
10.097,806.24
15.685,828.64
25.283,822.18
39.908,851.67
