Time (s),F51 (N),L51 (mm),F52 (N),L52 (mm),F53 (N),L53 (mm),F55 (N),L55 (mm),F57 (N),L57 (mm),F58 (N),L58 (mm)
6.24,21.8547,9.05,23.6691,9.0112,25.9701,9.1068,27.8077,9.0839,28.4163,9.0784,6.3387,9.0849
6.25,21.7618,9.0648,23.7294,9.0479,25.9035,9.032,27.7501,9.0419,28.4228,9.0715,6.266,9.0479
6.26,21.8073,9.026,23.6114,9.0482,26.0365,9.0888,27.7002,9.0503,28.4514,9.1088,6.2726,9.1155
6.27,21.8681,9.0558,23.5763,8.9907,25.8804,9.0381,27.6192,9.0358,28.4697,9.0273,6.2979,9.0631
6.28,22.0147,9.1219,23.7237,9.1174,25.9366,9.0527,27.595,9.0699,28.2397,9.0064,6.1875,9.0376
6.29,21.897,9.0313,23.5428,9.0967,26.0778,9.1211,27.8616,9.1363,28.4459,9.0892,6.3206,9.0678
6.3,21.8193,9.0778,23.708,9.0547,25.8948,9.0921,27.5858,9.0625,28.3956,9.0437,6.293,9.0851
6.31,21.6668,9.0453,23.6212,9.1506,25.9258,9.0726,27.6707,9.0935,28.2853,9.0797,6.3697,9.1373
6.32,21.8742,9.0425,23.5616,9.0709,25.9248,9.0394,27.6628,9.0408,28.4585,9.062,6.4262,9.0386
6.33,21.9897,9.1339,23.7267,9.0678,25.7976,9.0814,27.6089,9.0227,28.257,9.0288,6.2329,9.0113
6.34,21.9194,9.045,23.6101,9.0605,25.8449,9.1054,27.7111,9.1274,28.271,9.0914,6.3204,9.0623
6.35,21.8457,9.0756,23.6767,9.0726,25.7605,9.0358,27.7286,9.0605,28.3656,9.0479,6.25,9.0376
6.36,21.8398,9.0419,23.5488,9.0333,25.8945,9.0819,27.7201,9.0672,28.3604,9.0876,6.3041,9.0854
6.37,21.8027,9.0479,23.6211,9.0185,25.9402,9.0251,27.5337,9.0404,28.4418,9.1103,6.4699,9.1448
6.38,21.9903,9.1581,23.7741,9.0726,25.7735,9.0218,27.6335,9.0396,28.2477,9.014,6.2791,9.0579
6.39,21.8537,9.0571,23.6335,9.0666,25.8997,9.0903,27.8757,9.0941,28.3323,9.0997,6.3494,9.0823
6.4,21.8542,9.0816,23.7311,9.0503,25.838,9.0382,27.5996,9.0795,28.3096,9.0392,6.257,9.0605
6.41,21.8269,9.0182,23.5498,9.1022,25.853,9.0921,27.693,9.1347,28.3993,9.1098,6.2428,9.0807
6.42,21.8438,9.0829,23.5288,9.0943,25.9582,9.0851,27.6663,9.0231,28.4012,9.1095,6.542,9.1586
6.43,21.9969,9.1356,23.8086,9.0358,25.7527,8.9838,27.6438,9.0113,28.3239,9.0479,6.2954,9.0566
6.44,21.8441,9.0386,23.567,9.0511,25.952,9.0945,27.6653,9.0679,28.276,9.0678,6.3263,9.088
6.45,21.9049,9.0888,23.6704,9.1513,25.959,9.0477,27.7909,9.064,28.2586,9.0412,6.2199,9.0452
6.46,21.8014,9.0688,23.6144,9.0411,25.8313,9.1168,27.5483,9.1148,28.2909,9.1404,6.1656,9.0377
6.47,21.8757,9.0605,23.5434,9.0652,25.9051,9.0822,27.6596,9.0492,28.354,9.1434,6.4513,9.1554
6.48,21.9799,9.1383,23.7298,9.0939,25.9201,9.01,27.5625,9.0233,28.3063,9.0174,6.2624,9.0618
6.49,21.8899,9.0362,23.4696,9.0604,25.9107,9.1028,27.659,9.0484,28.311,9.0972,6.3566,9.0839
6.5,21.8662,9.0851,23.6164,9.0275,25.789,9.0328,27.6557,9.0793,28.157,9.0295,6.2518,9.0333
6.51,21.7531,9.0156,23.5598,9.1071,25.9167,9.1431,27.7042,9.0466,28.3003,9.0851,6.2333,9.0644
6.52,21.832,9.0429,23.5389,9.0312,26.0108,9.117,27.6343,9.0845,28.3866,9.1237,6.3847,9.1554
6.53,21.9535,9.1142,23.7826,9.0479,25.7888,9.0475,27.4649,9.0155,28.196,9.0405,6.2556,9.0723
6.54,21.8453,9.065,23.6249,9.113,25.9081,9.0754,27.6173,9.0884,28.3219,9.0599,6.3092,9.0918
6.55,21.8765,9.0726,23.6954,9.0879,25.8073,9.0475,27.6789,9.0383,28.1744,8.9954,6.2909,9.045
6.56,21.7754,9.0358,23.6046,9.0938,25.7938,9.0612,27.6019,9.0764,28.2441,9.0211,6.1727,9.0274
6.57,21.7506,9.0536,23.5194,9.0985,25.9742,9.1333,27.6143,9.0726,28.3508,9.1192,6.3279,9.1437
6.58,21.9612,9.1392,23.709,9.1222,25.8186,9.0334,27.5945,8.9994,28.328,9.0244,6.32,9.0832
6.59,21.8382,9.0335,23.6694,9.0416,25.8511,9.0929,27.5006,9.1266,28.2355,9.0303,6.2367,9.1382
6.6,21.8537,9.0681,23.641,9.0557,25.7678,9.0633,27.5593,9.0479,28.1675,9.0306,6.379,9.0358
6.61,21.858,9.0379,23.6622,9.0605,25.6698,9.0256,27.611,9.0984,28.2683,9.043,6.1618,9.0238
6.62,21.7498,9.0785,23.5745,9.0194,25.838,9.1654,27.6562,9.1003,28.3815,9.1333,6.178,9.0635
6.63,21.9344,9.0938,23.6748,8.9936,25.9244,9.0343,27.521,9.0069,28.1565,9.0521,6.3333,9.0507
6.64,21.882,9.0266,23.6051,9.0369,25.862,9.1091,27.6414,9.0832,28.2249,9.0802,6.3452,9.0945
6.65,21.882,9.0372,23.6701,9.056,25.8072,9.0527,27.5385,9.0495,28.2369,9.0424,6.3384,9.0696
6.66,21.7399,8.991,23.5582,9.039,25.6076,9.04,27.5833,9.0597,28.0443,9.0465,6.1733,9.0345
6.67,21.7381,9.0246,23.5206,9.1516,25.8595,9.0959,27.7004,9.1183,28.3196,9.093,6.3412,9.1098
6.68,21.9818,9.1339,23.7656,9.113,25.7441,9.0501,27.5864,9.0304,28.2628,9.0636,6.2918,9.0559
6.69,21.808,9.0284,23.6273,9.06,25.7865,9.0839,27.4775,9.0713,28.181,9.0691,6.412,9.1424
6.7,21.8569,9.098,23.5681,9.0585,25.8708,9.0623,27.4897,9.067,28.2081,9.0222,6.3056,9.0758
6.71,21.8809,9.0112,23.5807,9.1279,25.612,9.0039,27.5921,9.0931,28.0746,9.021,6.1509,8.998
6.72,21.7002,9.0489,23.5195,9.0397,25.7056,9.102,27.5998,9.1291,28.2253,9.1133,6.2357,9.0851
6.73,21.9921,9.1218,23.6531,9.0303,25.862,9.0826,27.4498,9.0467,28.2044,9.0843,6.2375,9.0484
6.74,21.8459,9.0787,23.6041,9.0906,25.807,9.1204,27.5036,9.0855,28.2331,9.0976,6.3496,9.0851
6.75,21.8712,9.0418,23.6522,9.0319,25.8553,9.0733,27.4336,9.0545,28.1687,9.0629,6.3818,9.0849
6.76,21.7589,9.0416,23.6023,9.0222,25.6768,9.0142,27.449,9.0686,28.01,8.9585,6.239,9.0158
6.77,21.7594,9.0656,23.518,9.0726,25.698,9.0247,27.5838,9.1311,28.3008,9.1136,6.2392,9.0726
6.78,21.9771,9.1154,23.7821,9.0605,25.7841,9.0377,27.505,9.072,28.1601,9.0744,6.298,9.0687
6.79,21.7489,9.0876,23.6779,9.0415,25.8168,9.1541,27.5066,9.0866,28.23,9.0856,6.3441,9.0946
6.8,21.847,9.0794,23.616,9.0307,25.9279,9.155,27.4874,9.0133,28.2503,9.044,6.4294,9.1276
6.81,21.7982,9.0016,23.6317,9.1083,25.74,9.0308,27.4255,9.0856,28.0699,9.0065,6.2463,9.0249
6.82,21.7254,9.0619,23.5938,9.026,25.7193,9.0661,27.5087,9.1165,28.119,9.0851,6.0801,9.0767
6.83,22.0149,9.1234,23.7361,9.0726,25.5612,9.0279,27.5615,9.0479,28.1223,9.0576,6.2546,9.0605
6.84,21.8197,9.0427,23.7169,9.1235,25.7098,9.0737,27.5309,9.0726,28.2466,9.0891,6.2734,9.0714
6.85,21.8271,9.0726,23.6683,9.052,25.8402,9.1172,27.4122,9.0298,28.2214,9.0956,6.4172,9.1145
6.86,21.799,9.0103,23.5466,9.049,25.7876,9.0361,27.4044,9.0525,27.9811,8.9991,6.3389,9.1017
6.87,21.7028,9.0509,23.5627,9.071,25.5781,9.0972,27.5154,9.1465,28.1043,9.1483,6.2571,9.0851
6.88,21.9268,9.1584,23.7285,9.0296,25.7244,9.0817,27.4463,9.1065,28.0609,9.0377,6.1895,9.0623
6.89,21.8191,9.0507,23.6456,9.013,25.6275,9.0334,27.4741,9.0731,28.2531,9.1097,6.2601,9.0671
6.9,21.907,9.0809,23.6351,9.1147,25.7988,9.1091,27.5017,9,28.2616,9.1358,6.3821,9.1668
6.91,21.8015,9.0253,23.6496,9.0673,25.7224,9.0384,27.3691,9.0375,28.0811,9.0294,6.2233,9.0568
6.92,21.6353,9.0358,23.5639,9.0358,25.838,9.0726,27.4782,9.08,28.1439,9.0693,6.2857,9.0788
6.93,21.9673,9.1142,23.6724,9.091,25.7332,9.014,27.473,9.058,28.0532,9.1098,6.1707,9.0522
6.94,21.8162,9.0493,23.6381,9.1314,25.4965,9.0239,27.4649,9.0602,28.1285,9.0972,6.1581,9.0658
6.95,21.8686,9.0763,23.6475,9.0358,25.8765,9.0637,27.4538,9.0457,28.1683,9.1063,6.3948,9.0975
6.96,21.785,9.0409,23.5499,9.0304,25.7216,9.0635,27.327,9.0307,28.0209,9.0472,6.2412,9.0563
6.97,21.7611,9.0448,23.5763,9.1302,25.7183,9.0989,27.3579,9.1103,28.0596,9.0971,6.2696,9.1002
6.98,21.915,9.1138,23.689,9.0851,25.8006,9.0294,27.415,9.0945,28.1141,9.0358,6.0648,9.0358
6.99,21.76,9.0769,23.5262,9.0517,25.6723,9.0037,27.5301,9.1216,28.0773,9.0851,6.1431,9.0398
7,21.834,9.1268,23.6474,9.0714,25.7578,9.0605,27.4467,9.0659,28.1996,9.0934,6.3121,9.1339
7.01,21.712,9.0247,23.6014,9.0401,25.6735,9.076,27.2241,8.9751,27.9679,9.0514,6.2349,9.0252
7.02,21.7346,9.0624,23.4828,8.9866,25.7396,9.1211,27.4206,9.0886,28.0636,9.0672,6.2412,9.074
7.03,21.9513,9.1302,23.7039,9.0789,25.8406,9.1245,27.4508,9.0879,28.0408,9.0296,6.2558,9.0307
7.04,21.785,9.0568,23.6184,8.9977,25.5875,8.9914,27.4722,9.049,28.0391,9.0753,6.1472,9.0476
7.05,21.8268,9.0344,23.6302,9.0358,25.7312,9.0938,27.3604,9.0871,28.1808,9.1463,6.2654,9.0931
7.06,21.7711,9.0216,23.5325,9.0999,25.6444,9.0662,27.354,9.0312,28.0608,9.0614,6.2531,9.08
7.07,21.7631,9.0683,23.5208,9.1555,25.6522,9.0876,27.3782,9.1127,28.0449,9.0851,6.355,9.0909
7.08,21.8645,9.1137,23.787,9.0418,25.886,9.0977,27.4,9.0511,27.9908,9.0406,6.282,9.07
7.09,21.7537,9.0572,23.5847,9.0927,25.6459,9.0121,27.5246,9.1214,27.913,9.1113,6.1932,9.0327
7.1,21.785,9.1035,23.6577,9.1168,25.667,9.0748,27.4,9.0378,28.165,9.1345,6.2714,9.0959
7.11,21.5957,9.0238,23.5975,9.0651,25.667,9.027,27.3703,9.0032,27.9905,9.0528,6.2109,9.0935
7.12,21.778,9.0329,23.4569,9.0366,25.6027,9.0087,27.424,9.0904,28.0573,9.0726,6.2258,9.0851
7.13,21.8378,9.1213,23.6938,9.0846,25.6092,9.1098,27.2152,9.0605,28.035,9.0354,6.3427,9.1165
7.14,21.7777,9.0293,23.5742,9.0285,25.6751,9.047,27.4107,9.1087,27.8765,9.0615,6.1839,9.0239
7.15,21.8284,9.0632,23.6346,9.0079,25.6393,9.0868,27.5434,9.116,28.1829,9.1823,6.3291,9.0832
7.16,21.7096,9.0245,23.5564,9.1173,25.6032,9.0349,27.327,9.0218,28.0385,9.0708,6.2126,9.074
7.17,21.7126,9.0469,23.5333,9.064,25.3885,9.0424,27.4039,9.0851,27.988,9.0878,6.2004,9.1285
7.18,21.8437,9.139,23.7579,9.0353,25.5382,9.1098,27.3952,9.0261,27.904,9.0378,6.3206,9.0567
7.19,21.8147,9.058,23.6017,9.0934,25.6654,9.0972,27.4023,9.0855,27.9001,9.075,6.1443,9.0204
7.2,21.7304,9.0981,23.6983,9.1438,25.6557,9.0996,27.4474,9.1812,27.9208,9.12,6.2789,9.0878
7.21,21.727,9.0135,23.534,9.0358,25.6819,9.0365,27.4,9.0382,27.9867,9.0008,6.1835,9.055
7.22,21.7961,8.9874,23.4623,9.0648,25.545,9.006,27.4201,9.0811,28.0462,9.084,6.233,9.09
7.23,21.8946,9.1444,23.6965,9.0808,25.642,9.0578,27.2853,9.0614,27.9936,9.0396,6.4044,9.1016
7.24,21.7239,9.0278,23.6,9.061,25.593,9.0397,27.351,9.0545,27.8337,9.0497,6.1227,9.0143
7.25,21.6832,9.089,23.6172,9.0304,25.667,9.1194,27.4228,9.1009,28.1113,9.1165,6.2526,9.0806
7.26,21.7777,9.0131,23.5947,9.0676,25.6833,9.0688,27.26,9.0377,27.954,9.0496,6.1946,9.0618
7.27,21.743,9.0585,23.312,9.0354,25.6335,9.0134,27.4108,9.06,28.0421,9.0879,6.282,9.1218
7.28,21.9767,9.1098,23.7197,9.0244,25.6829,9.1095,27.3185,9.0401,28.0206,9.0223,6.451,9.1339
7.29,21.7569,9.0495,23.5797,9.0693,25.5831,9.0499,27.2172,9.0726,27.8505,9.0463,6.16,9.0386
7.3,21.742,9.1157,23.665,9.0632,25.6796,9.1098,27.4154,9.1098,27.9809,9.1242,6.257,9.0898
7.31,21.7303,9.0479,23.5755,9.0174,25.7299,9.0793,27.2904,9.0574,27.9534,9.0482,6.1961,9.0512
7.32,21.7004,9.0533,23.5341,9.1184,25.5281,8.9951,27.302,9.0627,28.0442,9.0997,6.1595,9.0932
7.33,21.8896,9.111,23.7206,9.1163,25.618,9.066,27.131,9.0387,27.9899,9.1111,6.3289,9.1169
7.34,21.7577,9.0408,23.5383,9.0704,25.5739,9.037,27.3072,9.0404,27.8604,8.9989,6.1969,9.0478
7.35,21.8492,9.0928,23.5049,9.0822,25.6147,9.0729,27.4476,9.1214,27.8997,9.1001,6.2796,9.0605
7.36,21.7279,8.9806,23.5731,9.0652,25.7329,9.1322,27.2521,9.0314,27.9864,9.0481,6.2122,9.0247
7.37,21.7176,9.0736,23.4599,9.0178,25.6356,9.0539,27.3934,9.1115,27.9405,9.1218,6.2054,9.0835
7.38,21.8631,9.1668,23.6735,8.9985,25.3833,9.0822,27.0783,9.0188,28.108,9.0781,6.2944,9.1259
7.39,21.7135,9.0941,23.5476,9.0814,25.6554,9.0291,27.1735,9.0279,27.8648,8.9974,6.2749,9.069
7.4,21.7878,9.1077,23.5725,8.9623,25.5292,9.0493,27.35,9.1258,27.9985,9.0792,6.2313,9.1063
7.41,21.6654,9.0702,23.543,9.044,25.6598,9.116,27.3411,9.0407,27.9933,9.0926,6.1841,9.0479
7.42,21.6432,9.0521,23.5232,9.1042,25.618,9.045,27.4082,9.0851,27.9102,9.0972,6.1505,9.1132
7.43,21.9275,9.133,23.6677,9.0836,25.667,9.0606,27.2908,9.0423,28.0038,9.0657,6.3125,9.138
7.44,21.8054,9.0354,23.5173,9.0524,25.563,9.0525,27.1997,9.0063,27.8147,9.0356,6.2255,9.0385
7.45,21.858,9.1204,23.6406,9.1054,25.4531,9.0515,27.3351,9.0851,27.9644,9.0929,6.2717,9.1098
7.46,21.76,9.0483,23.5188,9.1162,25.649,9.1406,27.278,9.076,27.8975,9.0744,6.2023,9.0143
7.47,21.6392,9.061,23.4959,9.0605,25.594,9.073,27.3371,9.1092,28.0196,9.1141,6.135,9.0532
7.48,21.9073,9.1464,23.6656,9.0588,25.61,9.1021,27.2472,9.1011,28.0407,9.1095,6.257,9.1262
7.49,21.6875,9.0359,23.5911,9.0716,25.641,9.0637,27.156,9.0293,27.7863,9.041,6.2233,9.0704
7.5,21.856,9.085,23.5918,9.0402,25.4924,9.0183,27.3517,9.1581,27.894,9.076,6.2899,9.1263
7.51,21.7372,9.0362,23.3528,9.0192,25.6405,9.1108,27.2726,8.9998,27.8698,9.0829,6.2874,9.0542
7.52,21.7354,9.047,23.518,9.0544,25.618,9.0605,27.302,9.1339,27.8875,9.085,6.111,9.0102
7.53,21.8798,9.1207,23.6175,9.0485,25.6017,9.0809,27.1969,9.0496,28.1047,9.1106,6.2168,9.1124
7.54,21.7573,9.0488,23.6614,9.044,25.6433,9.0855,27.0397,9.0053,27.8575,9.0561,6.2562,9.0491
7.55,21.881,9.0867,23.713,9.0775,25.4567,9.022,27.192,9.0773,27.8591,9.1122,6.21,9.1334
7.56,21.6226,9.0034,23.5467,9.0828,25.7243,9.1248,27.2741,9.0709,27.8753,9.0535,6.3422,9.0444
7.57,21.7304,9.0217,23.5402,9.0418,25.4782,9.0429,27.3541,9.0972,27.8802,9.1059,6.1259,9.0038
7.58,21.8742,9.168,23.6875,9.0977,25.5971,9.161,27.254,9.0732,28.0443,9.0916,6.2137,9.0907
7.59,21.7137,9.0384,23.5447,9.1297,25.714,9.1423,27.1919,9.0134,27.8371,9.0424,6.2489,9.0968
7.6,21.7906,9.0832,23.5505,9.0553,25.4593,9.0248,27.2486,9.0726,27.9016,9.0783,6.3163,9.0901
7.61,21.6503,9.081,23.5552,9.0706,25.4668,9.0629,27.1621,9.0835,27.8847,9.0216,6.293,9.0725
7.62,21.6403,9.0538,23.6094,9.0972,25.6277,9.044,27.2891,9.0823,27.8465,9.0744,6.1169,9.025
7.63,21.8161,9.0936,23.6424,9.0454,25.4488,9.09,27.4454,9.1058,28.029,9.1392,6.2265,9.0761
7.64,21.7875,9.0289,23.5746,9.007,25.6528,9.1181,27.173,9.0655,27.8503,9.0605,6.1874,9.0587
7.65,21.7573,9.0892,23.7077,9.0726,25.5148,9.0555,27.2283,9.0491,27.7455,9.1278,6.3008,9.1244
7.66,21.6985,9.0098,23.5323,9.0412,25.5005,9.0238,27.2041,9.0471,27.82,8.97,6.3446,9.1098
7.67,21.6509,9.0499,23.4511,9.0478,25.4929,9.0007,27.2241,9.1145,27.7929,9.0479,6.2006,8.9762
7.68,21.863,9.1615,23.8441,9.0819,25.3207,9.0238,27.27,9.0641,27.9352,9.1453,6.1839,9.0726
7.69,21.75,9.0288,23.64,9.111,25.6975,9.1053,27.1993,9.0225,27.8129,9.039,6.207,9.0469
7.7,21.816,9.085,23.6124,9.0479,25.4786,9.0479,27.2251,9.0726,27.8224,9.0623,6.2633,9.106
7.71,21.6601,9.0167,23.6576,9.0923,25.5033,9.0798,27.2187,9.0325,27.8413,9.0238,6.3172,9.0962
7.72,21.6178,9.0377,23.4988,9.1218,25.5138,9.0413,27.2123,9.0888,27.7283,9.0605,6.1406,9.0051
7.73,21.781,9.1012,23.681,9.0838,25.4303,9.0194,27.376,9.1277,27.9692,9.1532,6.175,9.0834
7.74,21.687,9.04,23.5304,9.0064,25.5875,9.0952,27.1505,9.0425,27.8105,9.0851,6.061,9.0346
7.75,21.7687,9.1153,23.5602,9.053,25.518,9.0809,27.166,9.0726,27.864,9.1045,6.1947,9.0843
7.76,21.6764,9.0783,23.527,9.0129,25.3526,9.1214,27.1331,9.0396,27.8902,9.0423,6.404,9.1093
7.77,21.6334,9.0311,23.4738,8.9989,25.663,9.0558,27.1803,9.0972,27.7803,9.0385,6.1839,9.0359
7.78,21.8291,9.0997,23.6939,9.0486,25.2303,8.9935,27.3537,9.1196,27.7762,9.1305,6.2088,9.0851
7.79,21.8091,9.0505,23.5528,9.0261,25.6076,9.0851,27.18,9.0451,27.8258,9.0749,6.111,9.0135
7.8,21.8529,9.0682,23.7183,9.0112,25.5432,9.0539,27.1547,9.0605,27.9027,9.1336,6.1505,9.0657
7.81,21.7135,9.0344,23.6016,9.064,25.5707,9.0445,27.0592,9.0235,27.8738,9.0762,6.306,9.1454
7.82,21.6107,9.0658,23.407,9.0946,25.6166,9.0766,27.1032,9.0441,27.7191,9.0289,6.2121,9.0605
7.83,21.9086,9.1126,23.7154,9.0656,25.3635,9.0225,27.2671,9.1305,27.7924,9.1105,6.2542,9.1054
7.84,21.687,9.0417,23.5039,9.1243,25.5215,9.0847,27.1458,9.0409,27.7931,9.0834,6.1304,9.0214
7.85,21.785,9.0701,23.653,9.113,25.4609,9.0462,27.1894,9.0294,27.8443,9.1164,6.0804,9.0628
7.86,21.7666,8.9929,23.4269,9.0435,25.5925,9.0941,27.1317,9.023,27.885,9.0626,6.2241,9.1252
7.87,21.614,9.0174,23.4876,9.0482,25.6966,9.0757,27.0434,9.0677,27.5065,8.9962,6.1025,9.0707
7.88,21.8371,9.1,23.64,9.0797,25.4349,9.0363,27.2708,9.1133,27.8515,9.0803,6.2692,9.0787
7.89,21.7652,9.0238,23.5868,9.0154,25.4653,9.0159,27.058,9.0611,27.7819,9.0682,6.2145,9.0389
7.9,21.6433,9.0761,23.689,9.0154,25.4833,9.0298,27.2244,9.0971,27.7108,9.1339,6.1441,9.0291
7.91,21.7045,9.0392,23.6579,9.0791,25.3532,9.0758,27.107,8.9788,27.8631,9.066,6.2918,9.0904
7.92,21.6515,9.0548,23.4867,9.052,25.593,9.1097,27.083,9.0031,27.7335,8.9866,6.1652,9.1181
7.93,21.8457,9.0914,23.7216,8.9857,25.3057,9.0266,27.03,9.0877,27.8813,9.1124,6.2639,9.0833
7.94,21.6946,9.0311,23.6357,9.071,25.4669,9.0697,27.107,9.0766,27.6672,9.0441,6.2505,9.0129
7.95,21.6931,9.0726,23.6965,9.0455,25.398,9.0315,27.2485,9.0869,27.8701,9.1183,6.0872,9.0477
7.96,21.7102,9.0396,23.591,9.059,25.3743,9.0193,27.1068,9.0113,27.8741,9.1398,6.2761,9.1058
7.97,21.5823,8.9959,23.5924,9.11,25.5738,9.1126,26.9946,9.0217,27.5522,9.0405,6.2795,9.0499
7.98,21.8173,9.1181,23.6488,9.1089,25.4089,9.0571,27.223,9.1264,27.864,9.0843,6.2442,9.0992
7.99,21.8249,9.0524,23.5676,9.0665,25.5413,9.0782,27.1025,9.068,27.7171,9.0851,6.2358,9.0461
8,21.8007,9.0769,23.6651,9.0599,25.3747,8.9644,27.1254,9.0851,27.7278,9.1186,6.1051,8.9856
8.01,21.7214,9.0476,23.5221,9.0514,25.3273,9.0037,27.2205,9.0179,27.8943,9.1113,6.322,9.1152
8.02,21.6609,9.0474,23.4254,9.018,25.5289,9.115,27.0129,8.9453,27.7264,9.0503,6.1456,9.0533
8.03,21.8294,9.1196,23.6578,8.9852,25.5284,9.0885,27.1121,9.0605,27.6877,9.0725,6.2766,9.1367
8.04,21.6963,9.065,23.5608,9.0665,25.5089,9.1135,27.1934,9.066,27.659,9.0397,6.2822,9.1224
8.05,21.7665,9.0651,23.6215,9.0094,25.4792,9.0471,27.1517,9.0994,27.7342,9.072,5.9467,8.9563
8.06,21.7246,9.016,23.567,9.0487,25.3634,9.046,27.1454,9.0841,27.8502,9.0961,6.2614,9.077
8.07,21.6095,9.0612,23.4895,9.0747,25.4837,9.1056,26.9707,9.0112,27.693,8.9986,6.1237,9.053
8.08,21.7705,9.0824,23.6205,9.096,25.3562,9.0479,27.1292,9.0987,27.742,9.0726,6.2585,9.038
8.09,21.7597,9.0579,23.4748,9.0694,25.4924,9.0945,27.058,9.0506,27.693,9.0325,6.2352,9.0764
8.1,21.6881,9.1002,23.6199,9.1475,25.4411,9.0749,27.156,9.1327,27.6732,9.0996,6.0438,8.9876
8.11,21.7564,9.0032,23.5099,9.0984,25.308,8.9651,27.1793,9.0707,27.9561,9.1292,6.2679,9.0851
8.12,21.6395,9.0202,23.4066,9.0491,25.3863,9.0989,27.009,9.0138,27.6483,9.0496,6.184,9.0539
8.13,21.7639,9.0674,23.6018,9.0194,25.4434,9.0534,27.1094,9.0739,27.6663,9.0726,6.1359,9.1257
8.14,21.7146,9.0411,23.4799,9.0944,25.372,9.0843,27.2007,9.05,27.6471,9.0259,6.2493,9.0828
8.15,21.7194,9.0824,23.5643,9.0023,25.5945,9.1173,27.1392,9.1126,27.668,8.9996,6.1712,9.0305
8.16,21.7312,9.0034,23.6513,9.0114,25.4384,9.0929,27.1705,9.0836,27.8349,9.1218,6.1538,9.0712
8.17,21.5446,9.0369,23.4716,9.0941,25.4508,9.0864,27.102,9.037,27.766,9.0514,6.1778,9.0057
8.18,21.7511,9.1227,23.6475,9.0522,25.3405,9.0238,27.0023,9.0657,27.7609,9.0726,6.2021,9.1288
8.19,21.7694,9.0302,23.5783,9.0392,25.4078,9.0843,27.0838,9.0605,27.6266,9.0378,6.3499,9.0992
8.2,21.7245,9.0969,23.6297,9.1218,25.5704,9.1208,27.1043,9.0781,27.6431,9.0643,6.185,9.0341
8.21,21.6968,9.0177,23.4917,9.0908,25.44,9.0358,27.205,9.1032,27.844,9.1513,6.1664,9.0613
8.22,21.6267,9.055,23.4464,9.0444,25.5035,9.0889,27.0168,9.0752,27.7271,9.0611,6.0384,9.0357
8.23,21.7969,9.0973,23.7256,9.0596,25.3406,9.0673,27.2235,9.054,27.6848,9.1144,6.182,9.0564
8.24,21.6018,9.0294,23.543,9.1049,25.2231,9.0403,27.0981,9.0403,27.7271,9.043,6.3619,9.1445
8.25,21.7365,9.06,23.6533,9.0266,25.4425,9.1199,26.8426,9.077,27.6127,9.0406,6.1713,9.0548
8.26,21.6775,9.0181,23.5554,9.0299,25.4432,9.0461,27.1547,9.1186,27.7759,9.1142,6.1749,9.0605
8.27,21.6021,8.9908,23.4051,9.0599,25.471,9.0962,27.059,9.0723,27.7224,9.0684,6.087,9.0219
8.28,21.8693,9.1023,23.663,9.0258,25.3195,9.0529,26.9965,9.0257,27.7966,9.0623,6.0757,9.0749
8.29,21.6667,9.0094,23.5407,9.0117,25.154,9.0288,27.058,8.9919,27.6605,9.039,6.2417,9.1032
8.3,21.756,9.0558,23.6559,9.1204,25.243,9.1114,27.0778,9.0649,27.5483,9.0008,6.1453,9.0726
8.31,21.668,9.0102,23.5632,9.0049,25.0751,9.0575,27.1004,9.1185,27.67,9.144,6.1859,9.1138
8.32,21.5516,9.0193,23.4963,9.0262,24.8988,9.0726,26.961,9.0237,27.571,9.015,6.1049,9.0238
8.33,21.7955,9.0872,23.5456,9.1293,24.9349,9.0116,26.8828,9.0654,27.6032,9.1118,6.0912,9.0692
8.34,21.7257,9.057,23.473,9.1036,24.7093,9.0254,26.788,9.0497,27.5319,9.0323,6.2455,9.1098
8.35,21.7499,9.0959,23.6506,9.074,24.7935,9.0816,26.6641,9.0523,27.4098,9.0285,6.2076,9.0605
8.36,21.6222,9.0502,23.553,9.1097,24.5683,9.0681,26.7506,9.1119,27.3424,9.1041,6.184,9.0851
8.37,21.5449,9.0438,23.4361,9.1193,24.617,9.0788,26.6272,9.0563,27.2573,9.0463,6.206,9.0079
8.38,21.5949,9.09,23.5767,9.025,24.4913,9.1031,26.4339,9.0751,27.18,9.1033,6.0274,9.0287
8.39,21.4624,9.0674,23.372,9.0204,24.202,9.0111,26.4132,9.0454,27.134,9.031,6.2482,9.0998
8.4,21.3591,9.0726,23.4122,9.1022,24.2378,9.0776,26.2381,9.0392,26.9703,9.0086,6.0617,9.052
8.41,21.3138,9.0144,23.1823,9.0022,24.1302,9.0849,26.3135,9.1116,26.9675,9.106,6.2044,9.0851
8.42,21.1104,9.0112,22.9935,8.9896,23.9766,9.0479,26.2276,9.0723,26.8328,9.0631,6.306,9.0475
8.43,21.1618,9.0908,23.148,9.0886,23.958,9.065,26.1606,9.143,26.8728,9.0972,6.0833,9.0319
8.44,21.0415,9.0346,22.883,9.0687,23.567,9.0079,26.0969,9.0127,26.7129,9.0431,6.3397,9.1082
8.45,20.9649,9.0966,22.8274,9.0585,23.3566,9.0851,25.8027,9.0788,26.5667,8.9999,6.1251,9.0358
8.46,20.7733,9.0408,22.6477,9.0851,23.1227,9.0335,25.9165,9.1036,26.5939,9.0852,6.2665,9.1077
