Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
13.79,0.5062,0.0318,6.0968,9.0572,6.8042,9.0579,8.7125,9.1266,6.5301,9.0378,10.3322,9.0962
13.8,0.3791,-0.119,6.0992,9.1048,6.8988,9.1442,8.5426,9.1107,6.5984,9.0774,10.1873,9.0558
13.81,0.4101,-0.0123,6.0958,9.0524,6.8788,9.0692,8.5109,9.0726,6.4831,9.0343,10.2674,9.1128
13.82,0.4037,-0.0505,6.087,9.0108,6.7191,8.9629,8.5429,9.0067,6.3874,9.0088,10.329,9.1143
13.83,0.1917,-0.0258,6.0725,9.1071,6.7716,9.0647,8.2696,9.0018,6.5752,9.0808,10.0228,9.0374
13.84,0.3821,0.0164,6.038,9.0129,6.7033,9.0294,8.552,9.0326,6.4556,9.0466,10.237,9.0868
13.85,0.325,-0.0369,5.9493,9.0167,6.6877,9.0401,8.521,9.0605,6.5933,9.1137,10.2135,9.0366
13.86,0.4114,0.0206,6.069,9.1074,6.796,9.1276,8.5016,9.0771,6.5865,9.1465,10.066,9.018
13.87,0.52,0.0306,6.1229,9.0605,6.795,9.0629,8.6797,9.1175,6.5175,9.0358,10.1973,9.0807
13.88,0.3704,-0.0203,6.111,9.0838,6.9124,9.1009,8.504,9.0358,6.5529,9.0851,10.2064,9.0437
13.89,0.4808,-0.007,6.1642,9.0247,6.8622,9.0576,8.5617,9.0605,6.5519,8.9527,10.1896,9.0701
13.9,0.3002,-0.049,6.0085,8.9917,6.697,8.9787,8.6097,9.0591,6.379,9.0061,10.3158,9.0936
13.91,0.325,-0.0559,6.111,9.0605,6.8033,9.0726,8.3737,8.995,6.5351,9.1052,10.2294,9.0438
13.92,0.4034,-0.0058,5.9765,9.0236,6.6835,9.0257,8.531,9.0927,6.526,9.0377,10.2398,9.059
13.93,0.4429,-0.0121,6.0894,9.0431,6.736,9.0423,8.5086,9.0714,6.565,9.0874,10.2562,9.0305
13.94,0.444,0.0177,6.2941,9.0813,6.8376,9.1218,8.5606,9.0562,6.6473,9.1216,10.066,9.0112
13.95,0.5377,-0.0024,6.087,9.0459,6.672,9.0352,8.712,9.1087,6.4815,9.0405,10.1607,9.1
13.96,0.374,-0.0409,6.1085,9.0518,6.809,9.0454,8.4672,9.0128,6.502,9.0798,10.1261,9.0358
13.97,0.3602,-0.0002,6.0997,9.0361,6.8554,9.0621,8.5641,9.0183,6.4302,9.026,10.1962,9.0359
13.98,0.3486,-0.071,5.9595,8.9435,6.7055,9.0155,8.5325,8.9912,6.4705,9.0096,10.3702,9.1324
13.99,0.2032,-0.0244,6.111,9.0946,6.822,9.042,8.3716,9.0076,6.5516,9.0507,10.1339,9.0447
14,0.4276,0.0187,6.0967,9.0112,6.7066,9.0358,8.575,9.0851,6.5462,9.0358,10.2201,9.0647
14.01,0.3711,-0.0147,6.1163,9.0673,6.6963,9.0601,8.5613,9.0677,6.5318,9.1098,10.1317,9.0274
14.02,0.4061,0.0691,6.2922,9.1098,6.8763,9.1251,8.5195,9.0605,6.6312,9.0869,10.0209,8.9822
14.03,0.501,0.027,6.0804,9.0123,6.7865,9.0226,8.6754,9.0817,6.464,9.0493,10.1889,9.0614
14.04,0.3384,-0.0164,6.1581,9.0467,6.8556,9.0789,8.4611,9.0479,6.5946,9.0373,10.1053,9.0519
14.05,0.52,-0.0249,6.0411,9.0287,6.8521,9.0472,8.5835,9.0386,6.4693,9.0276,10.1487,9.0769
14.06,0.3,-0.0231,6.0002,9.0005,6.6685,9.0078,8.4601,8.99,6.428,9.0158,10.237,9.1172
14.07,0.329,-0.0152,6.0504,9.0851,6.7783,9.0645,8.3987,9.0536,6.5169,9.0942,10.115,9.0388
14.08,0.4467,0.0246,6.0559,9.0417,6.8795,9.0231,8.4684,9.0986,6.5136,9.0536,10.2812,9.0774
14.09,0.3939,-0.0123,6.1058,9.0902,6.7403,9.0889,8.4498,9.0403,6.6152,9.0737,10.212,9.0502
14.1,0.46,0.0217,6.1529,9.1235,6.8762,9.1668,8.562,9.0726,6.6463,9.0629,10.0679,9.0112
14.11,0.479,-0.0128,6.0667,9.0465,6.7841,9.0358,8.6002,9.0967,6.4677,9.0358,10.259,9.0668
14.12,0.3653,-0.0369,6.16,9.0605,6.8788,9.1049,8.4194,9.0479,6.5704,9.0628,10.1159,9.0479
14.13,0.398,-0.0123,6.1522,9.0368,6.7948,9.0112,8.5225,8.9979,6.4769,9.0057,10.1442,9.0821
14.14,0.3167,-0.0201,6.0205,8.9657,6.6257,8.9991,8.3886,9.0198,6.3724,9.0836,10.2308,9.1822
14.15,0.3388,0.0015,6.1464,9.0761,6.6844,9.0823,8.3896,9.0155,6.526,9.0995,10.1292,9.0148
14.16,0.4631,0.0831,6.0289,9.0449,6.7171,9.0318,8.5811,9.0872,6.428,9.0282,10.2011,9.0402
14.17,0.3496,-0.0674,6.0943,9.0954,6.7518,9.0634,8.471,9.0563,6.6641,9.0621,10.2285,9.0409
14.18,0.4571,-0.0039,6.1332,9.1172,6.868,9.1265,8.5836,9.0493,6.6125,9.0897,10.0284,8.9991
14.19,0.4423,-0.0181,6.1268,9.0238,6.761,8.9864,8.601,9.0826,6.5044,9.0304,10.1121,9.1076
14.2,0.3651,-0.0246,6.111,9.0247,6.8294,9.09,8.43,9.0176,6.3666,9.1248,10.0905,9.0544
14.21,0.4006,-0.0008,6.1173,8.9882,6.7021,9.008,8.4574,9.0726,6.444,8.9999,10.0743,9.0047
14.22,0.36,-0.049,5.989,8.9982,6.7084,8.987,8.2982,9.0148,6.5002,9.0345,10.1839,9.0961
14.23,0.3821,0.0144,6.0414,9.0605,6.724,9.0865,8.3803,9.044,6.5227,9.0938,10.2037,9.0564
14.24,0.5092,0.045,6.0454,9.0318,6.7328,9.0326,8.5555,9.1063,6.4856,9.0678,10.1375,9.1306
14.25,0.398,-0.0296,6.0751,9.0671,6.7878,9.0689,8.528,9.0423,6.5376,9.1531,10.2259,9.1022
14.26,0.3979,-0.0002,6.2233,9.0851,6.9584,9.135,8.5378,9.1043,6.6008,9.111,10.051,9.0048
14.27,0.4211,-0.0154,5.95,9.0423,6.7287,9.0011,8.564,9.0261,6.4537,9.0115,10.188,9.0924
14.28,0.3574,-0.0834,6.1414,9.0589,6.8345,9.0704,8.4105,9.0425,6.4626,9.0506,10.115,8.9759
14.29,0.4638,-0.0002,6.0378,9.0034,6.7416,9.0267,8.601,9.0611,6.4721,9.0062,10.0562,9.0791
14.3,0.3469,-0.0303,5.9039,9.0112,6.6336,9.043,8.4404,9.0255,6.4389,9.0409,10.3119,9.1321
14.31,0.3085,0.0005,6.0836,9.0837,6.7707,9.0983,8.3904,9.023,6.5627,9.0726,10.1765,9.0479
14.32,0.5286,0.0534,5.9946,9.0556,6.7276,9.019,8.5523,9.1194,6.525,9.0476,10.2089,9.0628
14.33,0.3913,-0.033,5.9264,9.0965,6.8007,9.0706,8.406,9.0358,6.5683,9.0726,10.2129,9.0789
14.34,0.4443,-0.0069,6.3058,9.0893,6.9715,9.1084,8.5727,9.0972,6.5692,9.0508,10.1092,9.0228
14.35,0.3737,-0.0185,6.0253,9.03,6.7474,9.0105,8.5702,9.0558,6.5142,9.005,10.1084,9.1085
14.36,0.3296,-0.0681,6.1387,9.0691,6.7967,9.1165,8.45,9.0199,6.5367,9.0851,10.156,9.0289
14.37,0.2988,0.0089,5.9494,9.0348,6.6945,9.0069,8.3118,9.0498,6.5032,9.0238,10.0405,9.0338
14.38,0.3899,-0.0574,5.8035,8.9907,6.6064,9.0084,8.4833,9.046,6.4746,9.0641,10.2481,9.0907
14.39,0.2056,0.0231,6.0784,9.097,6.8168,9.1305,8.2508,9.0406,6.5451,9.0641,10.049,9.0421
14.4,0.4983,0.0406,6.0495,9.0175,6.734,9.0447,8.5442,9.1098,6.4932,9.0463,10.2117,9.0565
14.41,0.4103,-0.0064,6.1626,9.0882,6.7795,9.0867,8.4584,9.0656,6.5041,9.0596,10.261,9.0648
14.42,0.471,0.0123,6.1822,9.1118,6.893,9.0853,8.528,9.0864,6.5424,9.0112,10.1037,9.0197
14.43,0.3364,-0.0396,6.16,9.0219,6.77,9.0271,8.528,9.0667,6.3731,9.0306,10.1472,9.0726
14.44,0.3978,-0.0735,6.1684,9.0523,6.7725,9.0859,8.3952,9.0238,6.5684,9.0605,10.0646,9.0436
14.45,0.4752,0.0149,6.1173,9.0021,6.6894,9.0008,8.5142,9.0692,6.5322,9.0346,10.0959,9.0274
14.46,0.3794,-0.0287,5.9511,9.0163,6.6221,9.0335,8.4132,9.0689,6.4162,9.0977,10.0901,9.0851
14.47,0.41,0.0369,6.1166,9.0782,6.819,9.0726,8.4014,8.9835,6.6585,9.1179,10.1557,9.0619
14.48,0.512,0.0314,6.0403,9.0364,6.6456,9.0238,8.5615,9.0917,6.5362,9.055,10.0531,9.0794
14.49,0.3208,-0.0376,6.1724,9.0726,6.8686,9.1564,8.5293,9.0377,6.558,9.0883,10.2441,9.0927
14.5,0.4715,0.008,6.172,9.1128,6.8945,9.1052,8.504,9.0069,6.5408,8.9837,10.079,9.0152
14.51,0.3913,-0.065,6.0659,9.0726,6.715,8.9869,8.4367,9.025,6.4138,9.0097,10.1776,9.0506
14.52,0.4034,-0.0709,6.0759,9.077,6.7984,9.0548,8.2388,9.0118,6.5467,9.0504,10.066,9.0443
14.53,0.386,0,5.9931,9.0233,6.7469,9.0048,8.4602,9.0625,6.3434,9.0448,10.0443,9.0322
14.54,0.3083,-0.063,6.0114,9.0226,6.6541,9.0757,8.4398,9.0312,6.558,9.0529,10.0848,9.1049
14.55,0.4199,0.0389,6.068,9.0815,6.7776,9.1068,8.4512,9.0558,6.6434,9.123,10.0429,9.0605
14.56,0.4137,0.0365,6.0503,9.0398,6.6947,9.0199,8.4956,9.1064,6.5044,9.0687,10.1917,9.1143
14.57,0.4246,-0.0136,6.068,9.1057,6.8311,9.1128,8.4536,9.0119,6.5099,9.0747,10.2544,9.0818
14.58,0.4253,-0.0084,6.1582,9.0591,6.8778,9.093,8.504,9.0223,6.5243,9.035,10.1316,9.0312
14.59,0.4265,-0.0695,6.0442,9.0304,6.7106,9.006,8.5099,9.0639,6.5441,9.0112,10.1272,9.0482
14.6,0.2868,-0.0057,6.1237,9.0691,6.69,9.0881,8.176,9.0148,6.477,9.0722,9.9576,9.0284
14.61,0.4265,-0.0002,6.0292,8.9947,6.7078,9.0202,8.5356,9.0611,6.5302,9.0309,10.0215,9.0202
14.62,0.422,0.0243,6.0026,9.0534,6.531,9.0591,8.3846,9.0918,6.5006,9.1043,10.1169,9.0736
14.63,0.4334,0.0321,6.0838,9.0875,6.7847,9.0922,8.5444,9.0609,6.57,9.1098,10.115,9.054
14.64,0.4524,0.0189,6.0841,9.0327,6.6435,9.0506,8.5663,9.124,6.5062,9.0772,10.1159,9.0958
14.65,0.349,-0.0369,6.184,9.1198,6.7884,9.0874,8.4084,9.0479,6.5023,9.0482,10.2568,9.1023
14.66,0.422,-0.0179,6.2206,9.0913,6.8444,9.0168,8.504,9.078,6.4902,8.9754,10.0095,9.0074
14.67,0.3083,-0.0483,6.0307,9.0078,6.763,9.022,8.5048,9.0238,6.428,9.0073,10.1462,9.055
14.68,0.3494,-0.0206,6.0394,9.0608,6.764,9.0605,8.3014,8.9991,6.5333,9.079,10.1258,9.0238
14.69,0.4927,0.0135,5.9432,9.0036,6.7337,9.0205,8.455,9.0768,6.428,9.0326,9.9887,9.0027
14.7,0.3464,-0.0315,5.964,9.0321,6.6813,9.0311,8.4086,9.0472,6.5039,9.1098,10.1056,9.0774
14.71,0.459,0.0491,6.1323,9.0626,6.8066,9.0646,8.4759,9.0795,6.5977,9.1141,10.0434,9.0598
14.72,0.3712,-0.0043,6.0546,9.057,6.746,9.0582,8.5039,9.1137,6.4897,9.0449,10.1025,9.0911
14.73,0.4401,-0.0249,5.993,9.1204,6.6669,9.0906,8.3867,9.0699,6.5294,9.1201,10.254,9.0972
14.74,0.4144,0.0244,6.1934,9.0744,6.8764,9.0073,8.5188,9.0605,6.4709,8.9954,10.1054,9.0331
14.75,0.3303,-0.011,6.0544,9.0113,6.7847,9.0017,8.4308,9.048,6.4073,9.0024,10.1264,9.0499
14.76,0.3,-0.0218,5.9861,9.0748,6.7394,9.1085,8.3134,9.0112,6.5668,9.0605,9.9543,9.0817
14.77,0.467,0.0081,6.0358,9.0358,6.6517,9.034,8.4455,9.0733,6.4667,9.0341,9.9338,9.0132
14.78,0.4058,-0.049,5.9667,8.9766,6.6309,9.0901,8.4256,9.0358,6.5176,9.1041,10.0282,9.0643
14.79,0.4807,0.0695,6.0831,9.087,6.822,9.1143,8.5,9.0589,6.6117,9.0979,10.1247,9.0435
14.8,0.422,-0.0002,5.9996,9.0578,6.672,9.0478,8.6909,9.0963,6.4483,9.072,10.1795,9.0953
14.81,0.319,-0.049,6.1306,9.1053,6.853,9.0972,8.4331,9.0193,6.5163,9.0516,10.224,9.1223
14.82,0.4167,0.037,6.1683,9.0624,6.69,9.0475,8.4425,9.0632,6.4943,9.0028,9.9718,9.066
14.83,0.2923,-0.043,6.0603,9.0098,6.6522,8.9223,8.3139,9.0091,6.4124,8.9991,10.1461,9.0569
14.84,0.3436,-0.0163,6.1636,9.0652,6.7476,9.094,8.3299,9.0216,6.5399,9.0566,10.0875,9.0479
14.85,0.4511,0.0258,5.9901,9.019,6.7187,9.0118,8.459,9.1088,6.453,8.9776,9.9318,8.9959
14.86,0.3977,-0.0163,5.966,9.0564,6.6959,9.0149,8.3404,9.0245,6.5399,9.076,10.0379,9.0642
14.87,0.422,0.0585,6.1654,9.1298,6.8695,9.1131,8.504,9.106,6.5585,9.1222,10.1683,9.027
14.88,0.4248,-0.0206,6.0613,9.0476,6.5615,9.0266,8.5858,9.0638,6.5736,9.0605,9.9919,9.0779
14.89,0.252,-0.0553,6.1162,9.0816,6.8309,9.1036,8.4554,9.0468,6.493,9.0424,10.2586,9.1573
14.9,0.2683,0.0217,6.1785,9.0701,6.8301,9.044,8.4581,9.0711,6.428,9.046,10.0305,9.0641
14.91,0.3626,-0.0506,6.0031,9.0014,6.5915,8.9831,8.3059,9.0317,6.447,9.0083,10.0877,9.0617
14.92,0.3574,-0.0329,6.0523,9.1049,6.6633,9.0851,8.2772,9.0238,6.5213,9.1029,10.1095,9.0321
14.93,0.4497,0.0464,6.0377,9.0355,6.7431,9.0457,8.5006,9.061,6.4558,9.0594,9.9808,8.9927
14.94,0.4198,-0.0139,6.0432,9.0754,6.7262,9.0588,8.3877,9.0411,6.5569,9.0497,10.0605,9.0765
14.95,0.3698,0.0019,6.0867,9.085,6.8271,9.1569,8.4749,9.0422,6.6301,9.0524,10.0991,9.0398
14.96,0.4438,-0.0166,6.0572,9.0455,6.7243,9.0385,8.5332,9.0905,6.4436,9.0254,10.0279,9.0726
14.97,0.3746,-0.0369,6.0961,9.0972,6.8206,9.0802,8.4219,9.0093,6.5355,9.0581,10.1656,9.1165
14.98,0.422,-0.0249,6.111,9.0851,6.721,8.9624,8.43,9.0358,6.404,9.0112,10.017,9.0358
14.99,0.496,-0.0123,6.209,9.0851,6.672,9.1218,8.455,9.0726,6.453,9.0238,9.895,9.0238
,,,,,,,,,,,0.569,-0.0616
,,,,,,,,,,,0.593,-0.0736
,,,,,,,,,,,0.545,-0.0002
,,,,,,,,,,,0.715,-0.0002
,,,,,,,,,,,0.569,0.0123
,,,,,,,,,,,0.667,-0.0369
,,,,,,,,,,,0.545,-0.0123
,,,,,,,,,,,0.74,-0.0002
,,,,,,,,,,,0.715,0.0737
,,,,,,,,,,,0.789,0.0611
,,,,,,,,,,,0.593,0.037
,,,,,,,,,,,0.667,-0.0002
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.715,-0.0123
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.545,0.0123
,,,,,,,,,,,0.422,0.0123
,,,,,,,,,,,0.447,-0.0736
,,,,,,,,,,,0.569,-0.0249
,,,,,,,,,,,0.715,0.0123
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.618,-0.0249
,,,,,,,,,,,0.545,-0.0369
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.642,-0.049
,,,,,,,,,,,0.715,0.0737
,,,,,,,,,,,0.667,0.0858
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.667,-0.0002
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.496,-0.0616
,,,,,,,,,,,0.398,-0.049
,,,,,,,,,,,0.374,-0.049
,,,,,,,,,,,0.52,-0.0249
,,,,,,,,,,,0.569,-0.0123
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.398,0.0244
,,,,,,,,,,,0.545,-0.0123
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.789,0.0244
,,,,,,,,,,,0.74,0.0737
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.569,0.0244
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.715,-0.0123
,,,,,,,,,,,0.667,0.037
,,,,,,,,,,,0.618,-0.0249
,,,,,,,,,,,0.471,-0.0249
,,,,,,,,,,,0.496,-0.0862
,,,,,,,,,,,0.52,-0.049
,,,,,,,,,,,0.667,-0.0369
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.545,-0.0123
,,,,,,,,,,,0.618,-0.0249
,,,,,,,,,,,0.642,0.0123
,,,,,,,,,,,0.886,0.037
,,,,,,,,,,,0.667,0.0737
,,,,,,,,,,,0.618,0.0123
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.545,0.037
,,,,,,,,,,,0.618,0.037
,,,,,,,,,,,0.545,-0.0002
,,,,,,,,,,,0.447,-0.0249
,,,,,,,,,,,0.349,-0.0616
,,,,,,,,,,,0.496,0.0244
,,,,,,,,,,,0.569,-0.0123
,,,,,,,,,,,0.569,-0.0249
,,,,,,,,,,,0.545,-0.0002
,,,,,,,,,,,0.569,-0.049
,,,,,,,,,,,0.569,-0.0862
,,,,,,,,,,,0.764,0.0244
,,,,,,,,,,,0.764,0.0737
,,,,,,,,,,,0.715,0.0611
,,,,,,,,,,,0.667,0.0244
,,,,,,,,,,,0.667,0.0123
,,,,,,,,,,,0.642,-0.0002
,,,,,,,,,,,0.715,0.0244
,,,,,,,,,,,0.642,0.0244
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.471,-0.049
,,,,,,,,,,,0.593,-0.0616
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.691,-0.0123
,,,,,,,,,,,0.545,0.0244
,,,,,,,,,,,0.545,0.0123
,,,,,,,,,,,0.52,-0.0123
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.691,0.0611
,,,,,,,,,,,0.691,0.1104
,,,,,,,,,,,0.667,0.0244
,,,,,,,,,,,0.593,-0.0369
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.593,-0.049
,,,,,,,,,,,0.667,0.0123
,,,,,,,,,,,0.642,0.0491
,,,,,,,,,,,0.569,-0.0002
,,,,,,,,,,,0.471,-0.0249
,,,,,,,,,,,0.447,-0.0123
,,,,,,,,,,,0.642,-0.0249
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.667,0.0123
,,,,,,,,,,,0.667,-0.0123
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.74,0.0123
,,,,,,,,,,,0.838,0.0611
,,,,,,,,,,,0.74,0.135
,,,,,,,,,,,0.764,-0.0002
,,,,,,,,,,,0.618,0.0244
,,,,,,,,,,,0.618,-0.049
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.545,0.0244
,,,,,,,,,,,0.3,-0.0002
,,,,,,,,,,,0.496,-0.049
,,,,,,,,,,,0.545,0.037
,,,,,,,,,,,0.569,-0.0123
,,,,,,,,,,,0.545,0.0123
,,,,,,,,,,,0.667,-0.0123
,,,,,,,,,,,0.545,-0.0002
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.642,0.0244
,,,,,,,,,,,0.764,0.0491
,,,,,,,,,,,0.618,0.037
,,,,,,,,,,,0.667,0.037
,,,,,,,,,,,0.545,-0.0616
,,,,,,,,,,,0.569,0.037
,,,,,,,,,,,0.642,0.0123
,,,,,,,,,,,0.667,-0.0002
,,,,,,,,,,,0.447,0.037
,,,,,,,,,,,0.447,-0.049
,,,,,,,,,,,0.471,-0.0616
,,,,,,,,,,,0.642,-0.0249
,,,,,,,,,,,0.569,-0.0123
,,,,,,,,,,,0.642,0.0244
,,,,,,,,,,,0.618,0.0244
,,,,,,,,,,,0.52,-0.0249
,,,,,,,,,,,0.618,0.0737
,,,,,,,,,,,0.74,0.0244
,,,,,,,,,,,0.667,0.0737
,,,,,,,,,,,0.496,0.0491
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.618,0.0244
,,,,,,,,,,,0.496,0.0244
,,,,,,,,,,,0.618,-0.0369
,,,,,,,,,,,0.3,-0.0616
,,,,,,,,,,,0.642,-0.0616
,,,,,,,,,,,0.642,-0.0249
,,,,,,,,,,,0.691,-0.0002
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.667,-0.0002
,,,,,,,,,,,0.642,-0.0369
,,,,,,,,,,,0.74,0.0123
,,,,,,,,,,,0.74,0.0737
,,,,,,,,,,,0.691,0.0983
,,,,,,,,,,,0.667,0.0244
,,,,,,,,,,,0.569,-0.049
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.593,-0.049
,,,,,,,,,,,0.667,0.0244
,,,,,,,,,,,0.496,-0.049
,,,,,,,,,,,0.471,-0.0369
,,,,,,,,,,,0.422,-0.135
,,,,,,,,,,,0.618,-0.0369
,,,,,,,,,,,0.618,-0.0249
,,,,,,,,,,,0.667,0.0123
,,,,,,,,,,,0.642,-0.0249
,,,,,,,,,,,0.667,-0.0123
,,,,,,,,,,,0.569,-0.0123
,,,,,,,,,,,0.789,0.037
,,,,,,,,,,,0.74,0.0737
,,,,,,,,,,,0.618,0.0123
,,,,,,,,,,,0.642,0.0123
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.593,-0.049
,,,,,,,,,,,0.74,-0.0002
,,,,,,,,,,,0.691,0.0491
,,,,,,,,,,,0.569,-0.0369
,,,,,,,,,,,0.422,-0.049
,,,,,,,,,,,0.471,-0.0862
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.691,-0.0616
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.569,-0.0369
,,,,,,,,,,,0.569,-0.0369
,,,,,,,,,,,0.667,-0.0369
,,,,,,,,,,,0.642,0.0123
,,,,,,,,,,,0.667,0.0491
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.496,0.0123
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.569,0.0123
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.398,-0.0862
,,,,,,,,,,,0.496,-0.0616
,,,,,,,,,,,0.52,-0.0616
,,,,,,,,,,,0.593,-0.0249
,,,,,,,,,,,0.496,0.037
,,,,,,,,,,,0.618,0.0123
,,,,,,,,,,,0.569,-0.0249
,,,,,,,,,,,0.667,-0.0369
,,,,,,,,,,,0.715,-0.0123
,,,,,,,,,,,0.838,0.0858
,,,,,,,,,,,0.764,0.0858
,,,,,,,,,,,0.642,0.0858
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.715,0.0123
,,,,,,,,,,,0.618,0.037
,,,,,,,,,,,0.496,0.037
,,,,,,,,,,,0.496,-0.0249
,,,,,,,,,,,0.422,-0.0616
,,,,,,,,,,,0.52,-0.0616
,,,,,,,,,,,0.569,0.037
,,,,,,,,,,,0.545,0.037
,,,,,,,,,,,0.545,-0.0123
,,,,,,,,,,,0.496,-0.0369
,,,,,,,,,,,0.593,-0.0369
,,,,,,,,,,,0.764,-0.0002
,,,,,,,,,,,0.715,0.0737
,,,,,,,,,,,0.618,0.0858
,,,,,,,,,,,0.593,0.037
,,,,,,,,,,,0.545,-0.0123
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.642,0.0123
,,,,,,,,,,,0.569,0.0611
,,,,,,,,,,,0.496,-0.0002
,,,,,,,,,,,0.496,-0.0369
,,,,,,,,,,,0.545,-0.0616
,,,,,,,,,,,0.642,-0.0002
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.569,-0.0249
,,,,,,,,,,,0.545,-0.0369
,,,,,,,,,,,0.496,-0.0369
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.715,0.037
,,,,,,,,,,,0.74,0.0491
,,,,,,,,,,,0.593,-0.0249
,,,,,,,,,,,0.618,0.0244
,,,,,,,,,,,0.593,-0.0002
,,,,,,,,,,,0.593,0.0123
,,,,,,,,,,,0.618,0.037
,,,,,,,,,,,0.593,0.0244
,,,,,,,,,,,0.52,-0.0123
,,,,,,,,,,,0.471,-0.0616
,,,,,,,,,,,0.545,-0.0616
,,,,,,,,,,,0.593,-0.0249
,,,,,,,,,,,0.642,-0.0002
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.618,-0.0369
,,,,,,,,,,,0.74,0.0123
,,,,,,,,,,,0.715,0.0244
,,,,,,,,,,,0.715,-0.0002
,,,,,,,,,,,0.789,-0.0002
,,,,,,,,,,,0.691,0.0244
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.545,-0.0002
,,,,,,,,,,,0.667,0.0244
,,,,,,,,,,,0.471,0.0123
,,,,,,,,,,,0.471,-0.0002
,,,,,,,,,,,0.398,-0.0616
,,,,,,,,,,,0.545,-0.0369
,,,,,,,,,,,0.569,0.0491
,,,,,,,,,,,0.496,0.037
,,,,,,,,,,,0.569,-0.0002
,,,,,,,,,,,0.618,-0.0249
,,,,,,,,,,,0.642,-0.0369
,,,,,,,,,,,0.691,-0.0002
,,,,,,,,,,,0.838,0.0858
,,,,,,,,,,,0.593,0.0858
,,,,,,,,,,,0.691,-0.0249
,,,,,,,,,,,0.569,0.0491
,,,,,,,,,,,0.618,-0.0002
,,,,,,,,,,,0.618,0.0858
,,,,,,,,,,,0.569,0.0244
,,,,,,,,,,,0.52,0.0123
,,,,,,,,,,,0.569,-0.049
,,,,,,,,,,,0.496,-0.049
,,,,,,,,,,,0.593,-0.0249
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.593,-0.0123
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.52,-0.0249
,,,,,,,,,,,0.642,-0.0123
,,,,,,,,,,,0.838,0.0123
,,,,,,,,,,,0.715,0.0858
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.569,0.0244
,,,,,,,,,,,0.593,-0.0249
,,,,,,,,,,,0.422,0.0123
,,,,,,,,,,,0.642,0.0244
,,,,,,,,,,,0.593,0.0491
,,,,,,,,,,,0.447,0.037
,,,,,,,,,,,0.398,-0.049
,,,,,,,,,,,0.496,-0.049
,,,,,,,,,,,0.618,-0.049
,,,,,,,,,,,0.642,-0.0249
,,,,,,,,,,,0.642,-0.0369
,,,,,,,,,,,0.618,-0.0123
,,,,,,,,,,,0.545,-0.0369
,,,,,,,,,,,0.715,-0.049
