Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
0.49,0.667,0.0218,7.4563,9.0479,3.0289,6.025,1.2085,3.0043,0.4991,-0.035,0.3964,-0.0137
0.5,0.4309,-0.0224,7.5357,9.0851,3.1417,6.0843,1.0631,2.9962,0.3954,-0.0356,0.5663,-0.0302
0.51,0.4231,0.0272,7.5363,9.053,3.108,6.0533,1.2119,3.0486,0.4345,-0.037,0.691,0.0737
0.52,0.5107,-0.0144,7.4902,9.0634,3.1262,6.112,1.1652,3.0058,0.4648,0.0062,0.5772,-0.0179
0.53,0.3001,-0.037,7.527,9.0555,3.1802,6.1125,1.2065,3.0666,0.4612,-0.0194,0.6237,-0.0192
0.54,0.5352,0.0544,7.3838,9.046,3.0925,6.0325,1.265,3.057,0.4444,0.0664,0.6328,0.0162
0.55,0.4818,-0.0629,7.4365,9.1007,3.0766,6.1016,1.1523,2.9954,0.5729,0.0171,0.6459,-0.0334
0.56,0.5406,0.0471,7.6873,9.1531,3.1417,6.0282,1.1618,3.0413,0.4094,-0.0259,0.6026,0.0625
0.57,0.6477,0.0642,7.4975,9.0605,3.0331,6.0265,1.1143,2.9788,0.5528,-0.009,0.5533,-0.0363
0.58,0.4444,-0.0275,7.5522,9.1177,3.1833,6.1463,1.0128,3.0399,0.4348,-0.0394,0.5426,-0.0181
0.59,0.5366,0.0242,7.4372,9.0633,3.01,6.0785,1.1659,3.0581,0.3827,-0.0284,0.6046,0.0226
0.6,0.4115,-0.0301,7.4024,8.9779,3.09,6.048,1.1587,3.0181,0.4723,0.0226,0.5935,-0.0009
0.61,0.3953,-0.0057,7.436,9.1148,3.2755,6.0823,1.1981,3.051,0.496,-0.0042,0.5803,0.0879
0.62,0.5571,0.0551,7.4413,9.0358,3.0499,5.9922,1.3167,3.0541,0.496,0.035,0.7085,-0.0018
0.63,0.5423,-0.0589,7.4955,9.1223,3.1284,6.0686,1.0344,3.0081,0.481,0.0398,0.5616,-0.0548
0.64,0.6215,0.0335,7.6416,9.1225,3.0407,6.0055,1.2291,3.0301,0.4041,-0.026,0.6117,-0.0061
0.65,0.6746,0.0287,7.4877,9.0207,2.9677,6.014,1.1447,2.9931,0.521,0.0001,0.5636,-0.0249
0.66,0.4682,-0.0609,7.454,9.1184,3.205,6.1011,1.0376,3.0352,0.461,-0.0451,0.5157,-0.07
0.67,0.5015,0.0013,7.5038,9.0367,3.0297,6.0697,1.2444,3.06,0.422,-0.0346,0.667,-0.0165
