x,Curve1
1.773,2.0598
4.18,2.1701
5.324,2.4854
6.155,3.0154
6.92,3.3413
8.028,3.3812
9.195,3.1047
10.682,3.0933
13.977,3.3355
18.164,3.9444
21.929,3.8903
25.88,3.6421
27.976,4.0588
29.214,4.3027
30.416,4.2915
31.648,4.1272
33.796,3.8908
36.233,3.9296
37.123,4.1636
38.296,4.3259
39.529,4.2432
40.701,4.3035
41.686,4.568
42.861,4.8017
44,4.7804
45.292,4.4834
46.057,4.7787
47.167,4.9411
48.208,4.7566
48.993,4.3478
49.912,4.4491
52.163,4.7227
53.023,5.0486
54.288,5.0271
54.979,4.6898
55.574,4.3016
56.399,4.4438
57.672,4.8917
59.57,4.8493
60.996,4.9196
62.13,4.6125
63.365,4.6422
64.318,4.8863
66.037,5.5481
67.207,5.4553
68.12,5.1893
68.971,4.9437
70.36,4.7691
71.339,4.6356
72.452,4.9613
73.687,5.0011
74.76,4.8165
75.555,5.0506
76.099,5.4379
76.292,5.652
77.879,5.967
79.172,5.7007
81.45,5.6478
83.009,6.1873
83.932,6.5335
84.692,6.5329
85.541,6.2159
86.81,6.3781
88.704,6.0909
90.738,6.6198
92.44,6.2103
93.767,6.0459
94.839,5.8001
95.382,6.1466
96.053,6.5747
98.582,6.4093

x,Curve2
0.925,0.4584
2.174,1.3962
3.478,1.8135
5.99,2.5665
8.465,2.9829
11.152,2.7766
11.215,2.7766
13.792,3.652
15.4,3.2527
17.727,4.3631
19.366,3.923
20.378,3.9017
21.808,4.2577
