x,c00
2.0717,0.89016
2.08468,1.0389
2.09603,1.11327
2.10738,1.14826
2.12278,1.13077
2.13656,1.09139
2.1544,1.06514
2.2525,1.16139
2.37169,1.28388
2.4106,1.31888
2.4479,1.36263
2.48681,1.40637
2.52573,1.45012
2.56465,1.49387
2.60356,1.54636
2.64086,1.59011
2.67977,1.64261
2.71869,1.69511
2.75761,1.7476
2.7949,1.79135
2.83382,1.84385
2.87273,1.88759
2.91003,1.94009
2.9457,1.99259
2.98462,2.03633
3.02191,2.08883
3.05921,2.13258
3.09813,2.17633
3.13542,2.22007
3.17434,2.26382

x,c01
2.07008,0.40894
2.08224,0.45706
2.09522,0.48768
2.10819,0.50081
2.12197,0.50518
2.13656,0.50518
2.15683,0.51393
2.19332,0.54455
2.28331,0.61455
2.40087,0.70642
2.486,0.77641
2.5841,0.86391
2.67004,0.95578
2.77625,1.06952
2.86463,1.17014
2.95624,1.28388
3.03408,1.38013
3.10461,1.47199
3.18163,1.57699

x,c02
2.07008,0.21645
2.08468,0.2427
2.09765,0.26457
2.11143,0.26894
2.12602,0.27332
2.14792,0.28207
2.17467,0.29519
2.21034,0.32144
2.26385,0.35206
2.33763,0.40456
2.42276,0.46143
2.49979,0.5183
2.57032,0.57518
2.64572,0.63642
2.73409,0.71079
2.81193,0.79391
2.89219,0.87703
2.96273,0.96015
3.03894,1.0564
3.11353,1.15701
3.1792,1.24888

x,c03
2.06846,0.05021
2.08468,0.08083
2.09522,0.08958
2.109,0.09396
2.13008,0.09833
2.16008,0.11583
2.19899,0.12895
2.2598,0.15958
2.32628,0.1902
2.40412,0.22957
2.48195,0.27332
2.55248,0.31269
2.6287,0.36956
2.69194,0.40894
2.75842,0.46581
2.83058,0.5358
2.89868,0.6058
2.97894,0.70204
3.04948,0.79391
3.10623,0.88141
3.18082,0.99077
