x,fpe
2.21975,-0.00696
2.3,-0.00462
2.35062,0.00767
2.46914,0.00748
2.50123,0.02475
2.54198,0.02468
2.56173,-0.00505
2.57284,0.02216
2.65802,0.02449
2.68025,0.03931
2.74074,0.03673
2.74938,0.01692
2.78025,0.00696
2.82346,0.0465
2.83827,0.02914
3.00617,0.05857
3.13086,0.09797
3.14444,0.07072
3.24198,0.06561
3.30247,0.14472
